"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,47464.4633388448,35218.5436150698,63968.4396001132,10.7677365697913,0.152252052602427,44308.1104527578,"index","Coastwide",22,"Pacific spiny dogfish"
2004,42036.0857878891,30629.2357750397,57691.0413744884,10.6462837138029,0.161520041692279,39236.3512615632,"index","Coastwide",22,"Pacific spiny dogfish"
2005,42668.1949873245,33602.1526257118,54180.3045702278,10.6612090736075,0.121871455471174,40083.0987579978,"index","Coastwide",22,"Pacific spiny dogfish"
2006,47651.9974833839,37301.7037437168,60874.2399477909,10.7716798281069,0.124943901354556,44554.4890764686,"index","Coastwide",22,"Pacific spiny dogfish"
2007,33973.9789922815,26524.452843128,43515.7420737154,10.4333501868321,0.126292040815019,31730.0559513184,"index","Coastwide",22,"Pacific spiny dogfish"
2008,38764.7569673575,31067.7013058285,48368.7662613255,10.5652667872501,0.112932060848754,36307.7378705476,"index","Coastwide",22,"Pacific spiny dogfish"
2009,18098.4124516034,13900.6204158093,23563.8786953584,9.80357950355102,0.134640612418882,16682.7722400358,"index","Coastwide",22,"Pacific spiny dogfish"
2010,22442.3276381308,17287.8904429659,29133.5759836528,10.0187040814468,0.133136385418648,20969.8469330791,"index","Coastwide",22,"Pacific spiny dogfish"
2011,29438.639429263,22007.6614991932,39378.7177923437,10.2900633567362,0.148429990220293,27492.778127325,"index","Coastwide",22,"Pacific spiny dogfish"
2012,32184.5932687674,22811.1566956628,45409.7114712705,10.3792431471152,0.175634922790979,29980.0492232726,"index","Coastwide",22,"Pacific spiny dogfish"
2013,11770.6267782715,8253.11540244094,16787.3158192343,9.37336245102607,0.181134154117919,10668.3238975739,"index","Coastwide",22,"Pacific spiny dogfish"
2014,25941.2182670756,19481.170148007,34543.4488825561,10.1635884215739,0.146117367074556,24029.1066754887,"index","Coastwide",22,"Pacific spiny dogfish"
2015,15218.8448772336,11088.7079087459,20887.3063754003,9.63028973347858,0.161537238439258,14086.1014212236,"index","Coastwide",22,"Pacific spiny dogfish"
2016,18970.6791149634,12845.0257865574,28017.5900043375,9.85064986170648,0.198951586724641,17405.6535567666,"index","Coastwide",22,"Pacific spiny dogfish"
2017,9337.0822156694,6261.63293469561,13923.0621167684,9.14174908580763,0.203857217118951,8509.32403468815,"index","Coastwide",22,"Pacific spiny dogfish"
2018,24339.349093464,16148.8651607386,36683.9346540444,10.0998496239269,0.2093122984228,22410.8120898765,"index","Coastwide",22,"Pacific spiny dogfish"
2019,24358.2066996769,14032.1130729649,42283.1707910988,10.1006241025162,0.281393093988176,22123.421641733,"index","Coastwide",22,"Pacific spiny dogfish"
2021,9338.40482616506,6605.27663494903,13202.445486678,9.14189072714688,0.176669893499005,8488.13327962361,"index","Coastwide",22,"Pacific spiny dogfish"
2022,20374.6660391254,13269.2909327288,31284.7927074969,9.92204754725696,0.21879986499606,18561.3480583501,"index","Coastwide",22,"Pacific spiny dogfish"
2023,10135.5658168572,7632.29547424326,13459.8686298934,9.22380588533539,0.14472814807596,9238.11927782548,"index","Coastwide",22,"Pacific spiny dogfish"
2024,8668.84759283386,5840.26126730674,12867.3898560769,9.06749114200512,0.201514075129142,7907.2616768641,"index","Coastwide",22,"Pacific spiny dogfish"
2003,9310.52226749562,6599.41765862593,13135.3748736037,9.13890046617307,0.175596989693487,8438.80685148371,"index","California",22,"Pacific spiny dogfish"
2004,10954.2409804184,7748.38023473937,15486.5135449968,9.30148196440955,0.176657769533698,10015.0866026963,"index","California",22,"Pacific spiny dogfish"
2005,19775.6308926397,14878.7902042721,26284.0978219881,9.89220569567384,0.145162715393041,18481.3342413228,"index","California",22,"Pacific spiny dogfish"
2006,35756.9853009926,26503.0121396696,48242.1390850761,10.4845009220702,0.152802425590329,33426.164730466,"index","California",22,"Pacific spiny dogfish"
2007,15496.1176399392,11026.180881944,21778.1355558987,9.64834479669064,0.173634309264051,14298.7303658912,"index","California",22,"Pacific spiny dogfish"
2008,18481.4122340688,13818.9369498736,24716.9951932308,9.82452076186831,0.148332107598091,17178.7948361073,"index","California",22,"Pacific spiny dogfish"
2009,7868.46233048165,5646.52598782674,10964.7417863099,8.97061793864707,0.16930013798461,7191.58152132149,"index","California",22,"Pacific spiny dogfish"
2010,5820.27673688905,4276.3582310547,7921.60512839378,8.6691030888887,0.157271279239483,5321.18686164937,"index","California",22,"Pacific spiny dogfish"
2011,6929.22990225478,4766.40376936565,10073.4703482101,8.84350396079332,0.190899726201944,6346.29531568232,"index","California",22,"Pacific spiny dogfish"
2012,7211.58884292061,5179.85093591553,10040.252949894,8.88344457256504,0.168836273108107,6585.82877810429,"index","California",22,"Pacific spiny dogfish"
2013,6216.41997453506,4143.44969489639,9326.49848443853,8.73494945323607,0.206975983715934,5599.67425500704,"index","California",22,"Pacific spiny dogfish"
2014,6761.69111046108,4610.38764680874,9916.83784007527,8.81902830202054,0.195391897167991,6081.47783565916,"index","California",22,"Pacific spiny dogfish"
2015,2996.09915129658,2040.28676001223,4399.68062349543,8.00506643864777,0.196034619046875,2666.73217470773,"index","California",22,"Pacific spiny dogfish"
2016,3282.19632805794,2078.44670622196,5183.1075118106,8.09626808950075,0.233112432289625,2854.034693895,"index","California",22,"Pacific spiny dogfish"
2017,2517.02317858418,1609.61542975029,3935.97474554085,7.83083220390666,0.228107068036065,2217.21017784167,"index","California",22,"Pacific spiny dogfish"
2018,4599.31264283554,3121.89385100388,6775.9116088283,8.43366214584155,0.197690900812238,4094.38564891583,"index","California",22,"Pacific spiny dogfish"
2019,4519.07313096207,2621.92272870233,7788.94882729472,8.41606219227703,0.277759695100034,3914.61337902389,"index","California",22,"Pacific spiny dogfish"
2021,4433.64197505816,3012.34879669334,6525.53289465528,8.39697664155266,0.197198142430725,3993.76119086295,"index","California",22,"Pacific spiny dogfish"
2022,6038.86013908869,4116.07302152386,8859.86025728308,8.70597055442532,0.195572836928273,5455.01015407141,"index","California",22,"Pacific spiny dogfish"
2023,6216.35243769121,4420.4146187468,8741.94865470444,8.73493858891046,0.173957182775385,5646.32610089408,"index","California",22,"Pacific spiny dogfish"
2024,2339.6229469913,1556.12017511068,3517.61748330198,7.75774506160391,0.208062050988141,2076.20059682732,"index","California",22,"Pacific spiny dogfish"
2003,4555.08984011666,2668.25328188057,7776.18961154631,8.42400053290607,0.272872971828275,4134.58255830661,"index","Oregon",22,"Pacific spiny dogfish"
2004,2110.29275493642,1298.92849042689,3428.46857572089,7.65458196326108,0.247599956756105,1917.21743037311,"index","Oregon",22,"Pacific spiny dogfish"
2005,3608.36411280749,2469.69817186916,5272.01733349575,8.19100979427451,0.193451804591208,3351.30583537364,"index","Oregon",22,"Pacific spiny dogfish"
2006,3653.2536757559,2513.3611510814,5310.12521367316,8.20337346751477,0.19081841815597,3384.9737089707,"index","Oregon",22,"Pacific spiny dogfish"
2007,3059.5533901118,2047.89790592761,4570.96367931707,8.02602423335069,0.204827793888964,2824.76282186244,"index","Oregon",22,"Pacific spiny dogfish"
2008,4717.62681055083,3205.6766909625,6942.68476492731,8.4590611577613,0.197137640137573,4393.82452038242,"index","Oregon",22,"Pacific spiny dogfish"
2009,3686.14702279046,2408.32373106225,5641.96569521567,8.2123370242467,0.217172759500575,3407.29334424434,"index","Oregon",22,"Pacific spiny dogfish"
