"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,5310.94659437539,3705.31522860165,7612.34928423412,8.57752536470914,0.183677736679907,4658.73511969483,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2004,6175.28401929601,4164.32394676156,9157.34059273371,8.72831015546613,0.201024577416866,5409.43237524498,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2005,6536.99666590232,4778.08007507767,8943.4092226517,8.78523311357777,0.15992080935381,5758.75040925942,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2006,7041.27955425453,5077.27337017207,9765.00852848161,8.85954518750237,0.166847723611196,6200.72904748151,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2007,6815.17727572657,5005.96243816924,9278.26404477901,8.82690735637141,0.157412274002761,6008.45433847518,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2008,5552.01233718148,4272.80945124282,7214.1857351606,8.62191572429899,0.133619232489104,4935.11385278909,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2009,6088.50699076527,4445.83052604214,8338.13101049507,8.71415817313812,0.160429579379951,5342.96351916065,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2010,4192.72589311088,3171.982938198,5541.94355936512,8.3411063725347,0.142346579260334,3705.71724878427,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2011,4427.16436197202,3264.90282522217,6003.17538901985,8.39551455921078,0.155374936943333,3894.22397134185,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2012,6777.9522539895,5037.91549043725,9118.97725250926,8.82143030787979,0.151371467983611,5993.97262945039,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
