"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,9525.16532088835,6920.40280049738,13110.3314367385,9.16169255636799,0.162994475309663,7894.02090049867,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,14412.7277491756,10907.707182217,19044.0316834428,9.57586696665025,0.142166932432187,12022.585915913,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,10666.0540428354,8259.2976695803,13774.1383584817,9.2748214579802,0.130475164336306,8904.91219424541,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,8993.48591572022,6485.53635684021,12471.2567266625,9.10425580711579,0.16680204792746,7463.99090347646,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,8884.31170672839,6621.2763764445,11920.8125465223,9.09204227070322,0.150002161553202,7388.4869948048,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,5687.53283410598,3956.88187355354,8175.13152344447,8.64603183627217,0.1851157729022,4706.90073158512,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,9555.29179693688,7188.65060881501,12701.0765014298,9.16485039487232,0.14520248337165,7958.86132281894,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,10843.962018267,8718.48443185538,13487.609362926,9.29136370805497,0.111309703476548,9112.88920327603,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,7668.98586002601,5987.18238957348,9823.20903129672,8.94493966397988,0.126310213454502,6428.04713510344,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,10195.1481398303,7986.9790960944,13013.8121488151,9.22966721353862,0.124542763944286,8554.83354660134,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,11114.0855586055,8383.22608052462,14734.5301936882,9.31596855208318,0.143870224710792,9256.64096259659,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,17911.8093775132,14650.9127077235,21898.4933960626,9.79321551605544,0.102531273159852,15093.5333362295,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,16358.0738124869,13226.8559640828,20230.5505995828,9.70247686560207,0.10840621707803,13737.9379807873,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,16087.2171120504,12535.7251023007,20644.8811136381,9.68578026741724,0.127268875474647,13414.0905298402,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,12664.901276327,10087.6697286274,15900.5725458991,9.44658976740556,0.116084086812387,10613.6961141566,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,14187.8082910356,11291.4765122974,17827.0666271106,9.5601383037523,0.116499525716098,11897.0335803827,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2019,12248.6238313549,8727.08077374728,17191.1764829025,9.41316886936467,0.1729535181787,10151.2705756724,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2021,8734.37679930899,6645.24454133071,11480.290544286,9.07502187478072,0.139474554463532,7270.81938418698,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2022,14327.0372309838,11272.7443063781,18208.8753403071,9.56990374654874,0.122329117066747,11979.3609345175,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2023,8831.0800341423,6813.54274699554,11446.0241118786,9.08603260029064,0.132331568997635,7375.78882373734,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2024,5584.86918387869,4146.41670924897,7522.34181660129,8.62781628846778,0.151949981800045,4628.48623974792,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2025,6853.49853470088,5132.16561225884,9152.16805415479,8.83251453586838,0.147569823948121,5708.74886470284,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2003,3492.76808427852,2347.6667030475,5196.4058078255,8.15844984817907,0.202693840161763,2933.53085815462,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,6425.3567018314,4592.99346399128,8988.73666366882,8.76800742601714,0.171288945805853,5437.68707719715,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,3720.51033388983,2621.10176109639,5281.06056393281,8.2216161243875,0.178710475950743,3132.3655331217,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,3962.01855580617,2645.2224567561,5934.31792341681,8.28450891069179,0.206125453574142,3326.10687651018,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,3691.45768297307,2509.89665510945,5429.25135879217,8.21377669506444,0.196830064272816,3095.36714220047,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,2575.11797194334,1660.02274778009,3994.66367451492,7.85365062639532,0.224016382504945,2157.12925898671,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,3404.88408269209,2368.21410586397,4895.34944828839,8.13296617474189,0.185245631736861,2864.31392652758,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,3852.60552836567,2870.23733765917,5171.19931597664,8.25650495899709,0.150183860487181,3268.14501170932,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,3888.36833608389,2924.50726366864,5169.89938951058,8.26574489774019,0.145341246766304,3308.43284761913,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,5005.94031421251,3775.4306439454,6637.50464325056,8.51838054907056,0.143936734681222,4255.30998765405,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,5172.03616750896,3689.68747012578,7249.92518596945,8.5510217328118,0.172311684536542,4360.7355748378,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,8612.66795045318,6775.73973398703,10947.5942313261,9.06098941591008,0.122392856290403,7349.18861834564,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,5132.64204369305,3799.68769495037,6933.20516412326,8.54337582385218,0.15342203705088,4341.78319162067,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,4214.21303377813,2838.89988378338,6255.80056398374,8.34621814690174,0.201557915743718,3516.95061078456,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,4113.21790524977,2944.97084441057,5744.89950152751,8.32196094646473,0.170465760133252,3464.45272157814,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,6222.44597551482,4690.38727172991,8254.93326565339,8.7359183520851,0.144210772419131,5290.70906422957,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2019,3478.83069662222,2088.76270650986,5793.98654430346,8.15445150958786,0.260272306232371,2887.83419337901,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2021,2498.17613768298,1667.38996746475,3742.90606076866,7.82331619968208,0.206280020340413,2087.76966412768,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2022,3328.29673326043,2243.49851408754,4937.62713684588,8.1102159606047,0.201240533305178,2775.93889544489,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2023,2358.49577897475,1577.89697501976,3525.26332675939,7.76577931301517,0.205070657031586,1974.44074486988,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2024,1780.53061852908,1188.4046653994,2667.68498628713,7.4846666991603,0.206279111752339,1488.58454271577,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2025,3326.10115706329,2356.75737258103,4694.13993808877,8.10955607332023,0.175775737454012,2805.22593844899,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2003,3844.31262732485,2605.43549928414,5672.27228640656,8.25435009543169,0.198470471935817,3147.01518987073,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,4867.36502493725,3448.16635639314,6870.67845263825,8.4903080070082,0.175875746643164,3996.35851341089,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,4371.35244334604,3280.71010384835,5824.56894363586,8.38282772381268,0.146437665719559,3631.82730841055,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,3421.02727527563,2372.10414210374,4933.7747911019,8.13769615784136,0.186821542033574,2821.69367553784,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,3376.09958458237,2403.13972121864,4742.98198493313,8.12447635308363,0.17344450062609,2785.42537616387,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,2140.70828228779,1407.59000264525,3255.65821101566,7.66889202628809,0.213910932335828,1756.06283477836,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,3220.70331858476,2228.45167785536,4654.76993260436,8.07735503660859,0.187907905997627,2631.34824970074,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,4137.17738271021,3129.69818491204,5468.97358298783,8.32776904267787,0.142388938031519,3427.61680320886,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,2517.88029950925,1813.06705161274,3496.68325670446,7.83117267555108,0.167552814378048,2074.24553965993,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,3388.68169965993,2470.61215301412,4647.90220010891,8.12819624558503,0.161214702888962,2809.42416563916,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,3579.62534273799,2523.5641219087,5077.62710807618,8.18301342105177,0.178363433431148,2939.72418301103,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,5307.60722894298,4021.1667174271,7005.602223514,8.5768963966598,0.141619453790239,4382.26183950805,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,6307.18731247863,4836.96731537794,8224.28790622978,8.74944510536306,0.135411615655086,5232.49289593435,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,5663.93321357158,4173.11153315931,7687.34293174106,8.64187384391484,0.155848086371571,4654.17758743629,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,4620.69329075899,3526.56753400378,6054.27410120377,8.43830003575231,0.137869741987809,3838.75142584333,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,4660.07804386784,3453.69052966689,6287.86140170863,8.44678747459058,0.152854246264553,3839.51121192852,"index","Oregon",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
