"year","mean_depth","ci_lower","ci_upper"
2003,-535.503970017797,-539.573353101906,-530.97440242656
2004,-606.079510069194,-611.599276826252,-599.973317914219
2005,-580.5087347368,-585.885085601815,-575.527229551227
2006,-555.97766206887,-560.982877502413,-551.403458275947
2007,-606.181627761739,-611.75168775016,-600.849457156891
2008,-570.498454008615,-575.127372257467,-566.5484369305
2009,-617.253482287351,-621.886700015341,-611.730074275871
2010,-570.106493368812,-574.80803175515,-565.917553481607
2011,-558.413523579719,-563.005919628683,-553.971324787107
2012,-577.360536803909,-582.50712826943,-572.987824285334
2013,-611.568984368837,-616.61204691094,-606.777427185116
2014,-611.097566732765,-615.641033745086,-606.114171836806
2015,-557.308914558964,-561.9425721637,-552.733963703582
2016,-541.650673620983,-546.986467932984,-536.690844175368
2017,-697.782121147257,-703.148842317112,-693.14543263947
2018,-578.179388363743,-582.837103953687,-573.715332959977
2019,-566.392120638248,-571.00329890111,-561.871898953828
2021,-551.348255888076,-555.103841596384,-547.225229356286
2022,-575.107506447102,-579.85610593816,-570.875340446424
2023,-593.979659361972,-598.495665570154,-589.410442738312
2024,-600.765487752917,-606.269660541714,-594.985075920564
