"year","mean_depth","ci_lower","ci_upper"
2003,-230.547121291068,-233.543816424583,-227.954550970694
2004,-215.434372419206,-217.889987741633,-212.9514295058
2005,-210.749478045048,-212.819953580321,-208.775490641231
2006,-236.557232854742,-238.862865901524,-234.657504929757
2007,-218.640628483953,-220.435112726457,-216.596807364676
2008,-205.050144787943,-206.699663264745,-203.388916497417
2009,-239.514654548911,-242.19791140194,-236.563916135306
2010,-210.488758270847,-212.421461858259,-208.465547047419
2011,-250.892692524976,-254.140416066187,-247.956182473938
2012,-255.852720500356,-258.411943058001,-253.410235541753
2013,-239.153189438792,-241.678031888476,-236.284913681018
2014,-232.76167418216,-234.558768987498,-230.836378186588
2015,-235.310135304963,-237.98630683836,-232.88117589822
2016,-252.13353049444,-255.200258176351,-248.605347957453
2017,-226.833916850595,-228.558530750429,-225.214613698795
2018,-225.860360039632,-227.849377466216,-224.167856291259
2019,-210.226049634737,-212.033845635272,-208.677793212204
2021,-208.22492067393,-209.745029983342,-206.669997757713
2022,-225.970204209529,-228.08318653531,-223.92961634178
2023,-206.202939975994,-207.901369140183,-204.585296303529
2024,-216.585173053593,-218.342110664567,-214.747947113952
