"year","mean_depth","ci_lower","ci_upper"
2003,-96.8912167460074,-98.0301499493226,-96.0209977732776
2004,-103.561176733724,-104.890912724328,-102.351413043523
2005,-95.7642524366326,-96.4070926600278,-95.0908666715235
2006,-94.9820399540947,-95.8590967585346,-94.044147865215
2007,-95.4830206832614,-96.4131783039709,-94.5275755661271
2008,-89.0552828066788,-90.0112459104907,-88.1587909613898
2009,-94.5369688857477,-95.2225331446572,-93.7719731236732
2010,-105.508167456346,-106.725384389317,-104.374801535183
2011,-98.8454715402169,-99.6861251067011,-98.0250838572
2012,-99.0956150955217,-100.04085133674,-98.2361862141935
2013,-101.147457957918,-102.087626894662,-100.204368596574
2014,-105.858301548899,-106.755417741982,-104.813017867643
2015,-107.912907167059,-108.565110793118,-107.076651022031
2016,-108.916345034035,-109.981178675576,-107.967342810995
2017,-103.33284349445,-104.077132990824,-102.414137606275
2018,-103.998421268091,-105.051566459007,-102.958375178921
2019,-103.243127040688,-104.145788926804,-102.371758933515
2021,-98.821623286458,-99.6448610181335,-98.0667630716853
2022,-108.466592306444,-109.27938768528,-107.602932401781
2023,-102.03117325111,-103.007130275422,-101.151198354546
2024,-97.6870473965433,-98.4994994911313,-97.1089665981674
2025,-103.378549431915,-104.781312712018,-102.056043631888
