"year","mean_depth","ci_lower","ci_upper"
2003,-70.1545123129101,-70.6976838390343,-69.7320098561864
2004,-67.0131353004737,-67.4199656223481,-66.5420291586666
2005,-89.6118758432609,-90.9167172379508,-88.3090287775295
2006,-76.632387213781,-77.2313576701923,-76.0417189610935
2007,-77.4612595935236,-78.1625848072908,-76.7981360646562
2008,-75.4649126574665,-76.1802301796976,-74.8457459928259
2009,-80.7431593094856,-81.6427577982607,-79.9497095240511
2010,-82.7444653753054,-83.5837655054909,-81.990164444294
2011,-86.5683218592786,-87.4233515272118,-85.563741528928
2012,-89.0762460911653,-90.3620966624557,-87.7761782654378
2013,-77.1090321201802,-77.8374026395891,-76.4908778198465
2014,-73.9517006878155,-74.3368265648925,-73.5117349476616
2015,-75.5288426426985,-76.154685358527,-74.9272338203218
2016,-83.4699071298641,-84.355391867537,-82.6673033748162
2017,-74.6338085186271,-75.1455552440057,-74.1024953182276
2018,-76.3979481482666,-77.0483339400089,-75.7300478773182
2019,-72.150589591698,-72.6743691408936,-71.5963216819529
2021,-71.3223483040819,-71.9685002620167,-70.7423637990386
2022,-85.6665210731988,-86.9614104207788,-84.4178614438363
2023,-73.9479387757513,-74.6246064076125,-73.3016441483827
2024,-80.1356697114413,-80.9150767766502,-79.2917799580465
