"year","mean_depth","ci_lower","ci_upper"
2003,-335.040219522191,-337.454567006962,-332.710314777642
2004,-333.649567059198,-336.010141942402,-331.282727380855
2005,-330.628545208189,-332.870097091985,-328.414310869904
2006,-342.425523941317,-344.751025370021,-340.189563242001
2007,-333.985962622933,-336.2075246044,-331.749888069847
2008,-331.975115234529,-334.499328304185,-329.83902720134
2009,-335.123849680302,-337.43399182863,-333.190914348044
2010,-328.929544426147,-331.224804656945,-326.588055192211
2011,-325.62524430026,-327.647103301379,-323.664011871935
2012,-326.990628935754,-328.901964183142,-324.981579039113
2013,-338.028706308672,-340.262639525732,-335.923220443324
2014,-331.12195360017,-333.249185290237,-328.827827915515
2015,-335.140163367739,-336.953308291657,-332.58980171057
2016,-326.211319993747,-328.706641963431,-324.169531827823
2017,-330.378739018286,-332.451490227379,-328.006775964302
2018,-328.316963279781,-330.677559381684,-326.251948142109
2019,-327.262757202993,-329.030929061783,-325.553471402052
2021,-335.841398794124,-338.210758757584,-333.85474930123
2022,-342.099341945017,-344.070069726304,-340.169565175855
2023,-338.232345534332,-340.180733683923,-336.201420345618
2024,-327.700240856445,-329.87432381865,-325.42051929177
2025,-328.342834252417,-330.447529880912,-325.958853837796
