"year","mean_depth","ci_lower","ci_upper"
2003,-112.544382270475,-113.812310306379,-111.420434625526
2004,-105.534005841004,-106.824388895656,-104.300980433096
2005,-118.731131807263,-120.034215015571,-117.462676631194
2006,-108.549504011227,-109.473220357149,-107.62753535069
2007,-106.649695888884,-107.46968939707,-105.947630127125
2008,-104.963135683399,-105.834286813448,-104.171778651659
2009,-103.020524457788,-103.794567466641,-102.20194983227
2010,-106.879781010518,-107.605785533104,-106.04244739904
2011,-124.943044586973,-126.256442357108,-123.600306664859
2012,-117.455260219055,-118.837067269648,-116.14757351839
2013,-117.038407050184,-118.301491524189,-115.641794506444
2014,-126.300651710858,-127.852620908974,-125.071167234023
2015,-117.101548150793,-118.794697995454,-115.536552169092
2016,-117.452501607604,-119.036821491472,-115.911024350699
2017,-115.569839768433,-116.778042178761,-114.54547341693
2018,-115.914707054947,-117.291843797721,-114.559336945056
2019,-113.644620204286,-114.77580834314,-112.381191624505
2021,-116.380271406565,-117.452629060396,-115.184626391187
2022,-100.790525440958,-101.516551742863,-99.8353608620579
2023,-122.92659977475,-124.355398073537,-121.058925131746
2024,-122.913051431616,-124.245142940946,-121.545895127742
2025,-119.96072394418,-121.173365004529,-118.842811402464
