"year","mean_depth","ci_lower","ci_upper"
2003,-237.531116110094,-239.881365624517,-235.174190941622
2004,-223.72489506167,-226.017686781001,-221.325776061097
2005,-215.345704701846,-217.845561473834,-213.298727918909
2006,-233.543606270344,-236.238311199932,-231.045946454526
2007,-209.128259837056,-211.362558133799,-206.686856070724
2008,-157.946531030343,-159.357653232384,-156.566454538769
2009,-208.192749657183,-210.314803728285,-205.96787431424
2010,-193.166984499355,-195.388563344271,-191.106906931615
2011,-233.645910605344,-237.351877398006,-230.582481522211
2012,-240.968714142054,-243.524729138643,-238.151736069517
2013,-214.751160406203,-217.31879253254,-212.245881963844
2014,-223.308790358246,-225.736410259124,-221.08169162963
2015,-240.441344902061,-242.581439314676,-237.47384133472
2016,-264.93547623078,-267.711002646492,-261.720012726043
2017,-229.743414329591,-232.549577514358,-227.129925260537
2018,-251.622652708898,-254.393691684734,-248.747805713135
2019,-220.284644089727,-222.901201336622,-218.016294954039
2021,-238.887159946359,-241.370127158035,-236.155394209048
2022,-216.50616990473,-219.047968279612,-214.133205891063
2023,-214.904175584718,-217.092123656546,-212.795989536635
2024,-245.149933892626,-248.105537805026,-242.231286610275
2025,-197.203062361362,-198.959448521885,-195.720064694843
