"year","mean_depth","ci_lower","ci_upper"
2003,-897.864111117118,-899.549366760918,-896.411962876816
2004,-897.91295433617,-899.523045941837,-896.240878565383
2005,-897.8806889954,-899.483467854873,-896.235233808391
2006,-897.934262474511,-899.637880294492,-896.173183135272
2007,-897.9866217207,-899.627502189754,-896.088177989556
2008,-897.86763054158,-899.403340385228,-896.098511148554
2009,-897.916433485077,-899.59285020419,-896.224464023773
2010,-897.971210167918,-899.590584816835,-896.281163083487
2011,-897.953052896613,-899.860419577688,-896.322680325635
2012,-897.980321706881,-899.510020812444,-896.286493084077
2013,-898.121305978169,-899.945620607921,-896.249769780833
2014,-897.962793485526,-899.487549910587,-896.43547417875
2015,-897.87356475432,-899.349137983182,-896.092481489384
2016,-897.986161644337,-899.542285843803,-896.219499274013
2017,-898.04908796825,-899.73595330747,-896.160777771226
2018,-898.015564191477,-899.538685501738,-896.299908330758
2019,-897.951052954176,-899.553548379653,-896.183680643935
2021,-898.023220381844,-899.91300804417,-896.317063310345
2022,-898.04252071469,-899.728141836573,-896.457357278462
2023,-898.001534699615,-899.834227318738,-896.325747316936
2024,-897.986410963015,-899.595987498629,-896.500319818647
2025,-898.145423381859,-899.81422148441,-896.56007941583
