"year","mean_depth","ci_lower","ci_upper"
2003,-316.767552650359,-320.12932686625,-313.779358645602
2004,-329.42127401374,-332.280314927356,-326.173632290077
2005,-335.65834812252,-339.222062762067,-332.15177682833
2006,-309.653219793013,-312.944537966072,-306.093085093832
2007,-322.726628407927,-326.224161372292,-319.288813674596
2008,-316.808086057779,-319.577518594459,-313.354647696833
2009,-282.447348273648,-285.641361232139,-278.981707161518
2010,-246.575480757346,-248.972914018907,-244.355169297995
2011,-250.548759002546,-252.925145186411,-247.68858487897
2012,-269.656889536942,-272.358291713605,-266.93130134501
2013,-285.12993346415,-288.358207017996,-282.675444426424
2014,-251.5965492389,-254.483920800963,-248.979657415334
2015,-257.413289590756,-260.45973346026,-254.287914841522
2016,-252.263091634072,-255.46827862822,-249.02233067385
2017,-263.887699824011,-267.244188840356,-261.065977648257
2018,-255.047880441277,-257.605125969989,-252.496399494537
2019,-251.175444991125,-253.628638179353,-248.661878379607
2021,-236.464069603858,-239.042158926686,-234.103239378228
2022,-252.700272581457,-255.273314803295,-250.330128691129
2023,-233.659241502802,-236.354426196086,-231.092195373251
2024,-230.42043604276,-232.793449176121,-227.822901559604
2025,-249.712857689968,-252.83468003718,-246.521125342609
