"year","mean_depth","ci_lower","ci_upper"
2003,-439.672245388207,-443.949568392742,-435.610707670458
2004,-438.194294046941,-442.701071687347,-433.342019858015
2005,-434.836306063008,-438.713915602341,-429.881430499249
2006,-440.508797927635,-444.843007789005,-436.251783928454
2007,-438.067205373915,-442.995619216289,-433.868219692038
2008,-438.744029970387,-442.732449776385,-434.293788857706
2009,-430.063936766263,-434.811971693837,-425.564437838739
2010,-433.363807002746,-438.037016702852,-429.090436598836
2011,-429.223267762879,-433.665213181116,-425.094895724084
2012,-426.3757960581,-430.677184267425,-422.445242843428
2013,-435.353452918912,-439.686190496938,-431.004420226866
2014,-424.463050327907,-429.015590566896,-419.377121758407
2015,-437.25293928881,-441.483219810327,-433.19987791109
2016,-432.193922573844,-436.437207761928,-427.763656636525
2017,-427.815704937589,-432.527293366776,-423.759146204447
2018,-429.60973901154,-433.804609621407,-425.874169927068
2019,-423.00823130738,-427.314652557748,-418.342490502585
2021,-435.292907343788,-439.855806549545,-431.384421874348
2022,-426.332712689225,-430.141714324759,-422.214019362881
2023,-433.751974037728,-438.503582571747,-429.523702493241
2024,-423.03484383676,-428.061867452514,-418.628752127257
