"year","mean_depth","ci_lower","ci_upper"
2003,-420.238501475703,-423.989353773706,-416.879471614118
2004,-417.576457930898,-420.761451200352,-414.344984229673
2005,-414.611212401481,-418.060420135911,-411.414715706344
2006,-420.488352865253,-424.845078228343,-416.8094011888
2007,-419.22759742006,-422.651361385351,-415.331995056619
2008,-419.595453435669,-423.160983212503,-415.729333710267
2009,-410.17762644578,-413.921093922942,-406.742093810283
2010,-412.744988786892,-415.958493226974,-409.630753260564
2011,-409.882052001853,-413.8554704052,-406.408834568667
2012,-406.186346901526,-409.201251755397,-402.692322506991
2013,-414.733759186335,-418.34544455954,-411.717146105454
2014,-403.843685668945,-406.932013662298,-400.816965129247
2015,-418.048803596201,-421.737719403269,-414.833199039376
2016,-412.608898691508,-415.79044654895,-409.809498697168
2017,-407.336661606735,-410.29904197102,-404.33080476708
2018,-410.188949744913,-413.791085452871,-407.110166692174
2019,-403.486416797089,-406.78287194777,-400.223582681139
2021,-416.819486713138,-420.868856819328,-413.108632769865
2022,-407.386454661622,-410.488519847702,-403.976069763147
2023,-413.851357062499,-417.167521745722,-410.28587600004
2024,-402.979243194724,-406.031656425367,-400.102337558294
2025,-408.698898325066,-411.866175856373,-405.608739386774
