"year","mean_depth","ci_lower","ci_upper"
2003,-687.27471070591,-691.048624084092,-683.482060135923
2004,-707.247712077762,-710.969603843087,-703.709232658981
2005,-727.596553960052,-730.925154007108,-724.507615934928
2006,-741.330827319437,-744.618071933211,-738.788477033633
2007,-740.058247870488,-743.184436619347,-736.892908196866
2008,-739.01843034593,-742.38541937797,-735.298379363371
2009,-751.096433579405,-754.060911174942,-748.225653421416
2010,-744.804525324969,-748.441375066954,-741.763380182491
2011,-743.460461066358,-746.675174058887,-740.142036894107
2012,-730.416266845537,-733.945610609856,-727.091246364189
2013,-748.297638472181,-751.953035991155,-744.91243365155
2014,-721.211404581957,-724.764762532492,-718.109940946387
2015,-720.809650058552,-724.521476199918,-717.716784339697
2016,-721.950455867862,-725.14177264708,-718.042675540538
2017,-723.95337033227,-727.516038043573,-720.497040927498
2018,-703.302796811719,-707.420154199442,-699.293766336027
2019,-721.46080226539,-724.662400909754,-718.149566263512
2021,-677.769342144735,-681.576491045114,-674.221083417286
2022,-681.535020273563,-684.941955231018,-677.995004827597
2023,-687.087212941894,-690.209506789433,-683.817947830076
2024,-676.779195787361,-680.69055969421,-673.59212023462
