"year","mean_depth","ci_lower","ci_upper"
2003,-170.826151684474,-172.061471298815,-169.632878898378
2004,-171.006721435396,-172.177895855823,-169.830457949564
2005,-169.74631423495,-170.8706878713,-168.652191546364
2006,-167.873047573247,-168.884764220224,-166.774222493165
2007,-169.470500750128,-170.629191324825,-168.345959050339
2008,-173.292429619291,-174.406753713756,-171.915962850549
2009,-165.043241368886,-166.21071927471,-163.722841658671
2010,-172.462289058231,-173.61582995397,-171.239512758577
2011,-171.508611102138,-172.713572137126,-170.324418495168
2012,-171.749427803962,-172.975205085517,-170.540140986755
2013,-169.535411059069,-170.636730303975,-168.46154787725
2014,-170.84251101309,-172.06700493315,-169.772358862448
2015,-171.066244718896,-172.236384860122,-169.879885738049
2016,-169.508965973889,-170.469929417334,-168.224834521011
2017,-168.782152624479,-169.884304449151,-167.770871034358
2018,-168.097641056023,-169.273551789785,-167.005777086299
2019,-169.231756696839,-170.383220580201,-168.261535118008
2021,-165.671714433682,-166.896382901088,-164.428279797464
2022,-169.720280237122,-170.891094317664,-168.539696912375
2023,-169.384555865641,-170.430311795286,-168.254957245762
2024,-171.030554382562,-172.075853682918,-169.702177251645
2025,-166.49341252193,-167.711997184133,-165.378546580182
