"year","mean_depth","ci_lower","ci_upper"
2003,-409.784175606002,-410.998043250237,-408.632055648776
2004,-409.569758308873,-410.760363746769,-408.504716967452
2005,-406.137547153509,-407.218986935947,-405.246071212663
2006,-403.950898610517,-405.076567348909,-402.893795784478
2007,-402.372384580533,-403.380072509513,-401.387981253898
2008,-402.845040254899,-403.849060390481,-401.889884345283
2009,-401.144863595182,-402.17172882954,-400.142842766734
2010,-404.927441669197,-405.926421636908,-403.87480030052
2011,-403.300312459939,-404.313917565364,-402.124058032103
2012,-406.02399502217,-407.140301585465,-404.883461415602
2013,-412.948234648682,-413.98804301281,-411.779685088276
2014,-410.753929488374,-411.756786830958,-409.775564163818
2015,-407.250027085898,-408.371499497673,-406.11302594523
2016,-408.168119839528,-409.107924132477,-407.123547551089
2017,-406.904845844811,-407.835207457529,-405.835398186493
2018,-406.852619701383,-408.141178719365,-405.607143135924
2019,-405.90641567469,-407.121488817326,-404.891795024272
2021,-409.986661643574,-411.068845424272,-408.738844318961
2022,-408.009763468845,-409.280861141687,-406.769093555792
2023,-405.852817316666,-406.911157108737,-404.911216620521
2024,-409.19017437171,-410.441243291969,-408.228577131336
2025,-410.583785352217,-411.661516604975,-409.33206666005
