"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,1778.50153978722,1272.16866465009,2486.35877845294,7.48352645716673,0.170946061613609,1367.14326614244,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2004,1155.9898151546,822.90941996712,1623.88766043602,7.05271223877362,0.173404260296512,900.62476290202,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2005,941.08902266627,686.837493562209,1289.45865198715,6.8470377394319,0.160686636442361,744.103020503436,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2006,519.95600584466,360.148912176259,750.673509966398,6.25374420385146,0.187363959690773,403.407929828754,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2007,579.421555561833,393.983445879676,852.140724593354,6.36203028789113,0.196800246357692,440.409576504987,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2008,630.595030963363,443.707533425127,896.198651409164,6.4466638672248,0.179339127203803,487.749648096369,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2009,785.130665796318,565.437635330193,1090.18240714345,6.66585015717432,0.167477643793686,607.920745464685,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2010,587.874806922325,419.399986586506,824.026704022503,6.37651401183195,0.172293433966314,454.268273289444,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2011,1087.39820890585,796.952546843748,1483.6954463783,6.99154315757588,0.158547821658269,844.533177081147,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2012,1667.41949665835,1288.17948301646,2158.30776261545,7.41903249875831,0.131659180306233,1351.11312915485,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2013,2580.89759029339,1841.80821599446,3616.57218907869,7.85589252062586,0.172140625623391,2008.01706721035,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2014,2120.05990585934,1604.96904079466,2800.46149812767,7.65919962474765,0.142012751657475,1678.06699832647,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2015,2735.76133968852,2072.73202720123,3610.88168152655,7.9141650452917,0.141605770062223,2155.56268978922,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2016,2501.19792064397,1820.85841324425,3435.73722851263,7.82452506434943,0.161973251727342,1926.74401993396,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2017,1628.64100649207,1225.76347145489,2163.93422531935,7.39550120769926,0.144993499417682,1286.42894603685,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2018,1508.97909636492,1061.53743432429,2145.01895047695,7.31918860603103,0.179449756621825,1153.55494294727,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2019,911.175426379246,573.39106741294,1447.94836338022,6.81473544335321,0.236314275140245,674.938056352853,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2021,1294.04690984359,980.225691463416,1708.33861982922,7.16552972621489,0.141710197658647,1048.0806920234,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2022,964.05469543864,711.056880364311,1307.07047700756,6.87114803100789,0.155306733334472,765.96346727079,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2023,1125.70510728701,833.306000991268,1520.70426357742,7.02616488033813,0.153453818473557,884.027306675893,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2024,1101.26281799402,839.240624127407,1445.09185974774,7.00421281667779,0.138632829353574,881.202929554168,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2025,1243.40206074563,973.154522361055,1588.69804243984,7.12560649918116,0.125034756403553,1000.91650277969,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2003,1343.28195827769,930.089391384557,1940.03548062003,7.20287112108298,0.18754957881168,1041.68993550034,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2004,944.788958628972,651.402464629902,1370.31439826432,6.85096157835103,0.189714660503966,737.743024804875,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2005,796.200341360135,563.858675475341,1124.27991472789,6.67985083930279,0.176047721960207,630.432894632742,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2006,383.357426898405,250.030066016869,587.780978101452,5.94896778349248,0.218058399116041,293.542883993371,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2007,429.430721329734,276.231896912241,667.593954511209,6.06246042766827,0.225116232748806,324.227512675897,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2008,493.191316326497,331.268224457636,734.262016521811,6.20089716433571,0.203049022562251,380.616277540862,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
