"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,12207.7836053007,8335.36634284572,17879.2358276804,9.40982902772008,0.194680251351448,11153.5914128858,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2004,9309.05760414116,6189.81141622237,14000.1928411101,9.13874314110262,0.208209561493897,8510.61458659881,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2005,8893.47870197632,6173.58733818001,12811.669956195,9.0930735570273,0.186247398282591,8130.48060312418,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2006,8123.05952540984,5786.3781790744,11403.3500769054,9.00246215103221,0.173064561007693,7441.42614109747,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2007,7852.35881600435,5606.46525997699,10997.9347264402,8.96856925175475,0.171887612687626,7186.38985458552,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2008,5588.43966339769,3886.81520552764,8035.02513497987,8.6284553972026,0.185263613012768,5107.85161895349,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2009,10141.1490457029,7220.42382600349,14243.3334171858,9.22435658884181,0.173313213760404,9289.34210828095,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2010,8040.79958728265,5616.368995805,11511.7895656672,8.99228380838263,0.183086609389101,7345.31634872149,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2011,8043.32430777919,5570.81767066894,11613.208283721,8.9925977478342,0.187401722450575,7345.15829375228,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2012,9498.34328199377,6532.58071628772,13810.548850572,9.15887267101161,0.190980712164031,8669.3715038318,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2013,7552.23521557228,5054.12907223538,11285.0811556547,8.92959885347011,0.204921126299397,6904.78801398038,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2014,6319.00016326571,4378.0238702326,9120.49916740874,8.75131627261072,0.18722973744564,5778.59458739837,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2015,9746.18896135955,6917.74237004862,13731.0981226754,9.18463161182206,0.17489447063679,8925.51559048785,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2016,10854.0764104995,7664.61803897369,15370.7561323874,9.29229599444559,0.177516545692755,9931.31289594389,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2017,8072.06734394236,5719.91388492453,11391.4776543879,8.99616490490528,0.175746023113135,7382.04902195478,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2018,7443.41173291784,5133.73861668423,10792.2086344013,8.91508458897016,0.189541820146302,6796.01484092681,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2019,7967.60904464167,4837.68028878962,13122.5691030812,8.98313973237815,0.254570558780567,7258.31156236812,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2021,5677.11130465258,4027.17256665228,8003.03245813129,8.64419780922348,0.175196074820442,5196.08286113922,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2022,14590.8532653483,10429.7754876287,20412.0404378261,9.58815012269562,0.171294015204113,13381.1221112346,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2023,19293.7286940214,13708.1006859926,27155.3277471095,9.86753538395554,0.174387467642564,17669.2097802784,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2024,20319.7128336988,14090.0616982522,29303.6850005562,9.9193467693927,0.186800261907531,18571.4936212163,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2025,8753.76214267255,6162.34006570677,12434.9436794184,9.07723884610828,0.179098689409326,8011.12699009861,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2003,1809.88316695046,1153.03224873298,2840.92407789125,7.50101757353036,0.230038453663436,1590.04246020327,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2004,1414.06750076068,879.07216019534,2274.656151394,7.25422558277163,0.242534352006187,1244.08776016354,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2005,1325.74789522566,851.336878948912,2064.52642327121,7.18973202840569,0.225985844231966,1165.1648035498,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
