"year","mean_depth","ci_lower","ci_upper"
2003,-700.613590844775,-707.925965349943,-693.896423861039
2004,-816.910540850592,-824.411368913412,-808.977506665005
2005,-702.621169641421,-709.779315926504,-696.022909432865
2006,-672.894901919255,-680.236012904933,-665.788722974913
2007,-801.608372437096,-810.073127349586,-793.463368391894
2008,-723.42746205019,-731.861443773903,-717.102670574063
2009,-813.077405694141,-821.740257177692,-803.545391768601
2010,-727.679094347543,-736.001191277048,-720.558303030933
2011,-691.95445011997,-698.598014964252,-683.732946230313
2012,-697.908841598853,-704.540149581043,-692.081951406174
2013,-814.268749840674,-822.257843747985,-806.637438090912
2014,-803.853625492226,-812.271378467175,-796.166363010086
2015,-725.357624404602,-733.840451017957,-718.601814702746
2016,-714.102413786831,-722.304688298298,-705.229754598332
2017,-937.328025866681,-942.878292725925,-931.234188222709
2018,-748.790681364389,-755.715804875822,-740.328638062504
2019,-703.48743977309,-710.458598173068,-696.071640966531
2021,-726.914916976527,-734.541040771515,-717.75612187792
2022,-724.729335909139,-731.766320907985,-716.160178093316
2023,-789.963976803064,-796.954313977642,-781.358616005702
2024,-767.995345222144,-774.253042480673,-760.702394236491
2025,-750.349518358815,-759.207261310651,-742.263686512125
