"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,285336.789846024,253167.386359244,321593.886205007,12.5614254803287,0.0610313894359674,248418.020301578,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2004,290151.490247513,256988.511911544,327593.97167851,12.5781584457335,0.061925517277809,251962.817080947,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2005,304475.483676615,272514.275889934,340185.18794058,12.6263458495134,0.0565824525797744,265649.385248072,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2006,289632.377455807,260333.023089146,322229.247274472,12.5763677338515,0.0544146659116296,252901.608021428,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2007,340577.529372434,306352.993670416,378625.493825663,12.7383980713774,0.0540340445269616,298816.869571805,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2008,304187.437769858,274285.037361881,337349.781041504,12.6253993619976,0.0527949675706445,266299.95608717,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2009,271521.085864548,244456.245347131,301582.395509572,12.5117950796666,0.0535741800602819,237947.960425329,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2010,246895.348015401,223927.055491691,272219.507990216,12.4167198335819,0.0498193852923566,217165.265294743,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2011,242202.962287614,218599.703501869,268354.778168277,12.3975313407762,0.0523141461840104,212522.18956494,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2012,252968.082791933,229096.37476359,279327.208810974,12.4410186047789,0.0505726437123505,222036.346894666,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
