"year","mean_depth","ci_lower","ci_upper"
2003,-163.765351236208,-165.346958048865,-162.146951824129
2004,-145.931415172719,-146.52119844004,-145.263030068382
2005,-154.972667268991,-155.673063426984,-154.251136185462
2006,-153.739261820241,-154.42076150994,-153.150478446201
2007,-155.43593648828,-156.1698596172,-154.747461298637
2008,-160.672776666717,-161.244524909711,-160.089024849155
2009,-149.618689132257,-150.326369338147,-148.925341292411
2010,-150.984586882216,-151.696267596344,-150.32156678975
2011,-155.411623011375,-156.177047852249,-154.691608313394
2012,-153.281230526694,-154.026925324989,-152.526263743
2013,-151.221038040096,-151.758485805297,-150.746371127329
2014,-153.774107878053,-154.430032866933,-153.169881984231
2015,-150.340956628776,-151.00508816296,-149.648568398592
2016,-151.128851472376,-151.722418425907,-150.489872549975
2017,-149.116649991523,-149.801662683538,-148.480482424954
2018,-151.881262719423,-152.80903412387,-151.038885481124
2019,-152.486156510341,-153.1488767508,-151.78153219206
2021,-148.315367544644,-149.094565060136,-147.359440348642
2022,-157.330048714481,-157.963009768622,-156.722694342633
2023,-153.438220713295,-154.134659750751,-152.830294031503
2024,-157.120573609815,-157.783252257221,-156.515915252929
2025,-162.405190567779,-163.306168462469,-161.497408328445
