"year","mean_depth","ci_lower","ci_upper"
2003,-421.04899595181,-427.986220364468,-415.076219803303
2004,-454.419848440035,-462.531760287438,-445.727354843495
2005,-485.803869206806,-495.433792393325,-475.122131061747
2006,-389.482634285158,-395.781622473357,-384.222780170863
2007,-437.093094745656,-446.678157869109,-427.91300262406
2008,-452.44354048651,-461.655916850052,-444.442716372024
2009,-423.147940896565,-432.833047245316,-415.382428548574
2010,-417.588940769096,-427.604399046569,-407.513352254474
2011,-456.577579619951,-466.706760466502,-447.563088724562
2012,-419.549598975064,-428.076469845494,-408.694583541164
2013,-494.981312927973,-504.988942900863,-486.462799650256
2014,-330.494421482636,-338.210170032351,-322.468614922616
2015,-444.110703146665,-453.119316279641,-435.838417653039
2016,-446.360805975957,-453.909959077928,-438.146237141694
2017,-480.429745284797,-490.809130775671,-471.39064678386
2018,-268.497973568296,-275.354886219969,-261.981717316943
2019,-449.969085195311,-457.728074002897,-441.592673343411
2021,-378.728428890682,-388.089633116146,-370.256651950039
2022,-441.104410186717,-453.220613058548,-432.202330394129
2023,-408.244597809137,-416.563468556899,-398.417789105219
2024,-382.752313051264,-389.235040272088,-375.772759993558
2025,-326.028742026821,-332.470976123174,-318.45363916101
