"year","mean_depth","ci_lower","ci_upper"
2003,-465.615183112161,-472.514565140639,-457.807291001406
2004,-445.485285381558,-452.565296951598,-437.121288416198
2005,-457.384579862322,-465.629821520775,-449.26881594562
2006,-453.105805156485,-460.598987163543,-444.11534649686
2007,-414.643317383166,-423.293699222889,-406.014348235908
2008,-441.261214974435,-448.968505124614,-433.524774257698
2009,-460.730328260232,-469.626935580352,-450.842733436171
2010,-463.685119008696,-474.5767481289,-454.781991369334
2011,-483.70973519644,-492.860822652393,-475.261339823519
2012,-486.368699652235,-494.222024584936,-477.603586284842
2013,-493.917406801099,-503.15263753277,-485.274399323129
2014,-471.500426773718,-480.139885220337,-462.94381685038
2015,-455.748682006598,-464.460130821552,-447.138401049634
2016,-453.446474161791,-461.414374867973,-445.939275765342
2017,-475.076211688831,-483.285084480414,-467.500514301434
2018,-442.975573171096,-451.724386369489,-434.719466665789
2019,-467.838319812049,-475.582490546099,-459.387051128258
2021,-472.231588406426,-482.422543684876,-463.278172033855
2022,-441.923577651992,-451.40278421371,-433.251126393547
2023,-444.769542567801,-454.409254177248,-434.83081125921
2024,-472.739047969324,-482.048930102831,-463.894790917804
2025,-470.572460960959,-481.541103083202,-460.285312163166
