"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,197215.162484386,174097.985625786,223401.897350742,12.1920506070609,0.0636119094885272,192026.13822245,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2004,207325.291093081,179902.219405434,238928.549458087,12.2420442933608,0.0723868079889876,201827.361479638,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2005,181102.59924829,161042.765473148,203661.129130048,12.1068189963267,0.0598958779350555,176289.40015086,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2006,180761.655424405,161120.867062913,202796.674741162,12.1049346216179,0.0586870642084999,176032.2534409,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2007,199236.477775741,178246.219342211,222698.547116296,12.2022477287321,0.0568003297101421,194035.150581992,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2008,205515.062939617,184002.850407489,229542.319597434,12.2332746092084,0.0564133230326636,200084.005536712,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2009,230811.052150106,206110.376882992,258471.90520098,12.3493546987352,0.0577498286905566,224777.589682542,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2010,214798.067196858,192590.68064907,239566.15925553,12.2774536434239,0.05568023401744,209166.027265968,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2011,233101.147272502,208552.3804386,260539.557234896,12.3592277468157,0.0567776928040736,226994.641262657,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2012,211486.493786487,188990.804325207,236659.858736504,12.2619164162638,0.0573800226212303,206030.648022623,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2013,198977.385915553,173160.763935796,228643.020542844,12.200946458634,0.0709047443985312,193857.847598892,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2014,206171.982065768,183706.338853158,231384.972637795,12.2364659638632,0.0588644422121003,200769.242376565,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2015,201206.054242329,179417.602814896,225640.492508051,12.2120848074226,0.0584773312412861,195947.243358501,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2016,204651.192773767,182711.661387624,229225.164861657,12.229062310263,0.0578570538859481,199336.599666796,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2017,257941.552376392,230175.889959085,289056.531742614,12.4604882970626,0.0581078343107089,251380.213336854,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2018,234369.402461729,209524.358792195,262160.529338482,12.3646537925917,0.0571737597250383,228390.125569749,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2019,197335.620224477,167217.331790589,232878.653141927,12.1926612141063,0.0844972571524065,192225.615368281,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2021,255008.265144779,226776.057722297,286755.206635538,12.4490512359478,0.0598648532362398,248377.879720401,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2022,261579.371767195,231003.448015534,296202.365470836,12.4744930413551,0.0634221477888854,254915.152228363,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2023,245744.483519205,217703.317129804,277397.478257592,12.4120475902263,0.061817006289428,239550.70049951,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2024,264804.82445456,234731.723311116,298730.798143846,12.4867483221183,0.0615061220508585,258022.852796065,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2025,256334.232840525,228216.442398411,287916.322923095,12.4542374689443,0.0592805293708658,250072.455005741,"index","Coastwide",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2003,143561.968246454,126256.031037768,163240.033425656,11.8745220554382,0.0655394384073546,139481.333015065,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2004,150970.020125529,130666.715450587,174428.10051594,11.9248365538699,0.0736908185856551,146645.550048308,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2005,131888.520820015,116869.185369454,148838.052298412,11.789712305502,0.0616857207335925,128102.222231603,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2006,131558.390586404,116914.00579525,148037.098001718,11.7872060669232,0.0602113699624745,127839.182199562,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2007,144993.938531612,129255.408906472,162648.839137718,11.8844472172987,0.0586243310101448,140903.467086999,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2008,149629.597707671,133518.931440534,167684.209786617,11.9159181705932,0.0581233207241835,145358.266230208,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2009,167979.354273483,149549.571062168,188680.336972724,12.0315963596044,0.0592935200122009,163234.57425418,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2010,156341.631951443,139761.19946922,174889.067738888,11.9597988401965,0.0571991699642547,151912.660765372,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2011,169658.357824728,151264.461937102,190288.968150048,12.0415420341019,0.0585505894862714,164856.249433622,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2012,153856.819507174,137037.784952516,172740.101695789,11.9437777054563,0.0590652364087495,149564.256808456,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2013,144746.997771658,125643.115980822,166755.601374185,11.8827426544371,0.072216582213964,140718.429198399,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2014,150060.083644126,133245.519368314,168996.517181476,11.9187910505041,0.0606349584648117,145811.420041574,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2015,146432.766315127,130218.693030215,164665.721577509,11.8943216690947,0.0598741098859774,142297.17148595,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2016,148910.666196729,132518.011742998,167331.11382744,11.9111018493955,0.0595051732903026,144730.497980611,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2017,187594.779575067,166944.986495317,210798.791042493,12.1420394877421,0.0595010284465357,182427.563046869,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2018,170461.2287699,151961.964088445,191212.522739127,12.046263152603,0.0586121078016343,165753.45005805,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2019,143576.174830584,121380.506338049,169830.548585548,11.8746210083951,0.085682920108331,139556.459630102,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2021,185558.635701269,164494.65212249,209319.91915261,12.1311262065066,0.0614770825850005,180343.756990241,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2022,190246.252894432,167529.702116148,216043.103301641,12.1560745798371,0.0648780489063609,184998.64076199,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2023,178694.913906197,157798.548081013,202358.466819032,12.0934352391096,0.0634505295742376,173813.464424317,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2024,192613.211979427,170216.794535945,217956.456824225,12.1684393740174,0.0630681019854616,187274.902821001,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2025,186319.841889977,165486.842402266,209775.490171722,12.1352200559639,0.0604975848339683,181370.615555661,"index","California",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2003,35544.8591428943,31111.749790326,40609.6416949541,10.4785508155732,0.0679655254100142,34834.6224454939,"index","Oregon",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2004,37334.9338992941,32125.0964750317,43389.6685835023,10.5276847329927,0.0766809537681802,36583.1261046332,"index","Oregon",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2005,32603.9711669411,28707.3847865352,37029.4592753472,10.3921893748728,0.0649398139925691,31946.0920426851,"index","Oregon",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
2006,32596.92155818,28723.182307838,36993.0909354772,10.3919731321653,0.0645487935232169,31949.5433544284,"index","Oregon",17,"longspine thornyhead","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared",-300,-1280,31.9,49,TRUE,500,"off","off",FALSE
