"year","mean_depth","ci_lower","ci_upper"
2003,-530.153998094698,-536.537171027777,-524.002154239172
2004,-424.319667720026,-428.300868898132,-420.235833191692
2005,-445.649253693634,-449.13254772125,-442.377176322277
2006,-465.392349812251,-469.457633061873,-461.172876823595
2007,-504.728301316237,-508.85293048437,-500.54758080439
2008,-518.67662480448,-523.800412260681,-513.449621266327
2009,-345.355819729373,-347.677090383538,-342.934276535933
2010,-422.140881556329,-425.56413156363,-418.025483539564
2011,-389.725877472906,-393.57547456321,-385.967704128552
2012,-444.393499500854,-448.938761994685,-439.634240631958
2013,-430.91284518699,-434.429913265362,-427.162673151044
2014,-504.488581613734,-508.564853538643,-500.07434687103
2015,-511.009088368729,-516.334114098039,-505.477985349669
2016,-455.199689376322,-459.024020565108,-451.334361284301
2017,-458.045220920175,-462.51965268041,-453.729265226527
2018,-482.213775908178,-487.483060591094,-477.544625819687
2019,-424.881086315491,-428.607634366159,-421.091021714457
2021,-455.054907345917,-459.560256279762,-450.308190586861
2022,-413.511868126218,-417.242550698252,-410.333075513004
2023,-492.357836815933,-496.544012943124,-487.760840028231
2024,-467.199971355264,-470.87496646213,-463.455442796944
2025,-309.742531696768,-312.658894611248,-306.964571267071
