"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,81408.8156994563,63141.0739175761,104961.712913521,11.3072388471026,0.129651401059232,65546.3686636742,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2004,69847.2577039426,56079.1082517069,86995.6666725792,11.1540661041283,0.112016080723166,56609.9570533432,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2005,61593.4330473656,50092.4475142117,75734.9896605469,11.0283105374648,0.105453473433769,50194.8278779968,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2006,43875.6215509819,34759.3999577567,55382.7214746095,10.689114127072,0.118833209239493,35467.6458679173,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2007,32633.8691558263,26397.1418611736,40344.1183776796,10.3931059591996,0.108213691901174,26506.3644322068,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2008,50406.896212281,41376.440489834,61408.2592817509,10.8278832743079,0.100724476739114,41187.57070862,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2009,56798.0305191503,47108.5431821815,68480.4931958617,10.9472569301495,0.0954340407058503,46788.5346310726,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2010,70027.8237808678,57960.6141449213,84607.3868579594,11.15664792464,0.0964961263269396,57315.7194722603,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2011,61987.3400629573,51406.3171014785,74746.2674771189,11.0346854506441,0.0954961965740026,50718.9600354512,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2012,74083.7760867848,61189.6645038016,89694.9823762454,11.2129518411147,0.0975621333051991,60756.2789166371,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
