"year","mean_depth","ci_lower","ci_upper"
2003,-207.691914953569,-209.729418405751,-205.567539080449
2004,-199.186482462256,-200.674157713383,-197.549842728357
2005,-204.513195063151,-206.182368782254,-202.795811879232
2006,-224.591280453145,-226.78540899252,-222.159292174626
2007,-215.49823333812,-217.575821742024,-213.493473373624
2008,-229.500145761352,-232.11662392522,-226.853319286754
2009,-217.153830920341,-218.793603681455,-215.360817700155
2010,-218.211378209889,-220.044817529951,-216.293285897847
2011,-231.562295931243,-234.010763221553,-229.416756245669
2012,-216.705026212419,-218.750996674038,-214.962068008859
2013,-201.859337863371,-203.695679886131,-199.900717347771
2014,-238.665945233826,-241.273662854401,-236.333004683387
2015,-217.468870091684,-219.270184452302,-215.131724130465
2016,-206.489680967745,-208.087480018916,-204.797300419659
2017,-186.219443880628,-187.580193253055,-184.792515794564
2018,-196.32298512954,-198.119186522934,-194.709423811047
2019,-220.490500370465,-222.91375331436,-218.473301548615
2021,-193.224462943723,-195.239657091273,-191.351914254787
2022,-213.89482596787,-215.731171412682,-211.835500103658
2023,-221.265843374941,-223.391930002657,-219.17197612285
2024,-218.099885036871,-220.333681920947,-216.100143695277
2025,-227.46215010498,-230.076594778881,-225.184453595132
