"year","mean_depth","ci_lower","ci_upper"
2003,-124.706744950685,-125.843759551704,-123.52477236569
2004,-126.589128185489,-127.824762633366,-125.223402965787
2005,-124.181710752435,-125.327822940398,-123.149949929348
2006,-124.083127054419,-125.388142016941,-122.891500020545
2007,-119.763726890008,-120.804872399896,-118.783678018306
2008,-117.912492636101,-118.729475817424,-116.955415465253
2009,-129.397300856931,-130.413180110018,-128.354273808754
2010,-131.374034727267,-132.790817219321,-130.129682808577
2011,-137.552412665431,-138.896207480364,-136.27824690151
2012,-129.755620222801,-130.946330628213,-128.567266724104
2013,-134.981883936041,-136.469817395963,-133.638242853809
2014,-136.599824812941,-137.647033123113,-135.454825295455
2015,-135.93691244926,-137.336205958705,-134.482890486532
2016,-134.174135417777,-135.344699106853,-132.940973594908
2017,-136.4906610428,-137.77716854866,-135.183038446854
2018,-131.495877574941,-132.642420714209,-130.494255028359
2019,-128.537727285961,-129.693756288923,-127.305364069088
2021,-132.676227223531,-133.648283221603,-131.710879038402
2022,-131.448724148977,-132.378686256602,-130.379047257051
2023,-133.800185278062,-134.827643931493,-132.729717109711
2024,-131.900530117437,-133.072733421998,-130.619070472808
2025,-139.958157492538,-141.233066668619,-138.892512451123
