"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,18611.486312351,15461.7841190109,22402.8107033863,9.83153421277444,0.0945973989773369,17005.6372123517,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2004,23210.3848329079,19555.7876254102,27547.9553373593,10.0523550796096,0.0874141143097021,21280.413519568,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2005,23951.8539346369,20548.1297689817,27919.3928282559,10.0838010083875,0.0782033765020078,22016.0870643817,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2006,21617.5561271102,18331.3818239794,25492.8263126054,9.98126104720499,0.0841297720721767,19810.4965819938,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2007,18429.5161675501,15692.2866808132,21644.2047662355,9.82170879788031,0.0820342734623832,16896.8214333756,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2008,16856.2578342313,14340.9784906522,19812.694674864,9.73247725165508,0.0824509562683868,15448.7109631319,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2009,16708.9095094046,14296.8051044897,19527.9753030835,9.72369735969958,0.0795453329293849,15362.1561412583,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2010,24707.5270108266,21351.0836201243,28591.6116414504,10.1148632134735,0.0744939408149691,22790.9630819795,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2011,32361.2554800458,28008.3250598375,37390.6991584619,10.3847171677018,0.0737054865855952,29886.7930995943,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2012,38405.6136834056,33110.2037499104,44547.9337288276,10.5559589175632,0.0756963569146105,35392.747977207,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2013,56156.8820000796,47211.4621622855,66797.240575406,10.9359045172168,0.0885284291303019,51546.7539130273,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2014,58128.4416045599,50542.8022250948,66852.5600999833,10.9704103515378,0.0713454571345323,53718.4211850095,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2015,53075.984129259,45956.1253518483,61298.9034589283,10.8794798286371,0.0734898223408695,49000.3599331237,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2016,61149.3942098597,52818.0042889874,70794.9583209159,11.0210752344409,0.0747298591729834,56401.4143117425,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2017,62827.1004741954,54343.5298537252,72635.0416437674,11.0481417955846,0.0740120518517868,57959.9488671893,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2018,42513.7864371409,36551.2361079549,49448.9989855491,10.6575836890668,0.0771000926596496,39138.3386297184,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2019,45214.1583314666,36836.7900014642,55496.6953836552,10.7191655541936,0.104549472718747,41301.4138077304,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2021,52571.8871359208,45284.5148172366,61031.9736931356,10.8699367907519,0.0761322020002197,48381.0414887464,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2022,52697.3730941242,45050.3004690838,61642.49965274,10.8723208868758,0.079994303680193,48436.1345976418,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2023,51764.423154486,44385.5999634635,60369.9286868353,10.8544583805949,0.0784647121782122,47606.849959739,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2024,44194.9123692956,38018.0866886719,51375.2913271068,10.6963649566737,0.0768114449535384,40708.520622916,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2025,65791.0769400811,56602.0738284141,76471.8589297128,11.0942394993043,0.0767557959702092,60672.8946517003,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2003,8057.42069604803,6432.13584798331,10093.3857442483,8.99434877138835,0.114944377491348,7352.14217952279,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2004,10770.6197298146,8752.43719053225,13254.1653072083,9.28457731072471,0.105864105530941,9873.2967436835,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2005,10937.2468219578,9001.67644910255,13289.0099661773,9.29992938269125,0.0993708420834004,10044.2423240456,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2006,9980.93399002147,8106.82438430543,12288.2942309723,9.20843195110109,0.106109321506907,9133.94418865291,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2007,8750.93586332607,7089.77684641838,10801.3101318884,9.07691592944099,0.10740339439024,8005.9584345951,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2008,7646.65430715316,6224.29417083716,9394.04862435022,8.94202348568698,0.105006091243035,6999.04649301884,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2009,7466.87578632411,6168.47378174776,9038.57842005711,8.91823195587981,0.0974636433265924,6869.62038875309,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2010,10254.0997708263,8522.02283322217,12338.2164267571,9.23543288223842,0.0944016677423096,9455.6504644208,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2011,13996.2824671035,11740.1128740038,16686.034027213,9.54654703527189,0.0896854885303087,12946.1407921561,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
