"year","mean_depth","ci_lower","ci_upper"
2003,-348.492893325027,-352.686586893195,-344.574259833768
2004,-361.294957751571,-364.742997368339,-357.740129252265
2005,-367.638033401793,-371.248731831067,-363.859018351228
2006,-355.328785407404,-359.78644636827,-350.943929149092
2007,-354.883553790865,-358.5760916312,-351.355753768078
2008,-346.390806504986,-349.939694129457,-342.952726248348
2009,-298.774289606632,-301.372289814853,-295.899750894729
2010,-269.72728148159,-271.914328821403,-267.617435265888
2011,-257.027854311008,-259.429813659613,-254.96004398389
2012,-291.11115457398,-293.959736936492,-288.218281415061
2013,-314.645702656687,-318.001775546172,-311.452153377277
2014,-274.59130413617,-277.701370668098,-272.181224457951
2015,-278.198600007076,-281.682976976066,-275.298146456705
2016,-271.520445605533,-274.544506906073,-268.631668267161
2017,-297.657192407439,-301.748214160996,-294.500807477898
2018,-283.30378259368,-286.36909636318,-280.020419707205
2019,-265.476016850065,-268.08818822088,-262.938196042158
2021,-248.992094760775,-251.532824152421,-246.398116431882
2022,-276.086309533018,-279.222659329552,-273.226563461591
2023,-253.788087199652,-256.859867455523,-251.213664617702
2024,-240.281809829583,-242.665886700085,-238.11037899222
2025,-261.951483182521,-265.626736253876,-258.826516067761
