"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,605.523662540453,354.989960362332,1032.87119872957,6.40609364156971,0.272456094793497,531.326061143258,"index","Coastwide",27,"rougheye rockfish"
2004,1506.99469938972,837.176959804677,2712.72757496642,7.31787268129431,0.29992245585992,1321.04325497387,"index","Coastwide",27,"rougheye rockfish"
2005,1757.73345671584,956.249882747739,3230.98278033804,7.4717804494098,0.310598149602563,1537.63878852396,"index","Coastwide",27,"rougheye rockfish"
2006,726.918137393183,428.495051399451,1233.17638499069,6.58881386788268,0.26966550545823,638.002818509131,"index","Coastwide",27,"rougheye rockfish"
2007,849.596044989128,514.938949885183,1401.74566290259,6.74476099533222,0.255470329841359,744.768931880097,"index","Coastwide",27,"rougheye rockfish"
2008,966.693668111142,583.954991935979,1600.28882511655,6.87388165944512,0.257177046193474,847.559852224235,"index","Coastwide",27,"rougheye rockfish"
2009,1013.19019231837,558.171920480182,1839.1365243293,6.92085923817381,0.30418529459197,883.098221691589,"index","Coastwide",27,"rougheye rockfish"
2010,855.060545053264,487.731118822751,1499.04016268539,6.75117227935744,0.286437922227212,747.168439882043,"index","Coastwide",27,"rougheye rockfish"
2011,1174.04971537524,664.731630916744,2073.60785926753,7.06821434648908,0.29022520531223,1022.66071192542,"index","Coastwide",27,"rougheye rockfish"
2012,613.195741661199,313.570374225087,1199.12162786629,6.41868420252019,0.342179955214533,532.70973407108,"index","Coastwide",27,"rougheye rockfish"
2013,1056.32079840946,560.019226502749,1992.45593070171,6.96254720450506,0.323769259705822,924.248619494567,"index","Coastwide",27,"rougheye rockfish"
2014,485.987754627357,238.410655772865,990.660827982261,6.18618342734306,0.363368307649819,421.474511105634,"index","Coastwide",27,"rougheye rockfish"
2015,1240.11327327077,718.796486139013,2139.52204858849,7.12295800383889,0.278260081181757,1086.38350411474,"index","Coastwide",27,"rougheye rockfish"
2016,1059.23692589119,598.080356589678,1875.97344204562,6.96530404663246,0.291627259811884,924.67666351408,"index","Coastwide",27,"rougheye rockfish"
2017,613.743972803198,329.993482710639,1141.48213188365,6.41957785878059,0.316589977556346,534.000907292494,"index","Coastwide",27,"rougheye rockfish"
2018,867.895863771827,481.44775519322,1564.53783869019,6.76607173484996,0.300655531641663,756.328636102896,"index","Coastwide",27,"rougheye rockfish"
2019,1051.85084824133,408.42555867728,2708.91520728804,6.95830660400775,0.482660367576053,911.058050615548,"index","Coastwide",27,"rougheye rockfish"
2021,980.618035493479,573.857501841646,1675.69776198629,6.88818302135218,0.273373344974963,858.089265647343,"index","Coastwide",27,"rougheye rockfish"
2022,492.232301952041,238.213302021709,1017.12472405477,6.1989507634997,0.370304898428108,427.807661923822,"index","Coastwide",27,"rougheye rockfish"
2023,835.043020488708,454.30461577826,1534.8663030253,6.72748324506703,0.310574743697372,729.709970303261,"index","Coastwide",27,"rougheye rockfish"
2024,404.61152027189,189.392150239911,864.399512489568,6.00292739756579,0.387306944957893,350.502218181679,"index","Coastwide",27,"rougheye rockfish"
2003,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2004,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2005,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2006,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2007,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2008,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2009,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2010,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2011,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2012,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2013,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2014,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2015,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2016,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2017,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2018,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2019,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2021,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2022,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2023,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2024,NA,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2003,350.883034436999,203.551973002353,604.852421913361,5.86045293270845,0.277827332104026,312.184077678661,"index","Oregon",27,"rougheye rockfish"
2004,873.138098117212,488.770395370336,1559.77151154194,6.77209373132143,0.296026302427535,776.320105902727,"index","Oregon",27,"rougheye rockfish"
2005,1018.019473901,554.33541030315,1869.56061254485,6.92561432649626,0.310130387080811,903.835475582854,"index","Oregon",27,"rougheye rockfish"
2006,421.240063572181,248.587410437881,713.806024390908,6.04320289342916,0.269090841279642,374.844324056855,"index","Oregon",27,"rougheye rockfish"
2007,492.248368023222,296.745507428682,816.553072432817,6.19898340217239,0.258223371467824,437.667964597744,"index","Oregon",27,"rougheye rockfish"
2008,560.108087611903,332.876029279837,942.456176514077,6.32812977869715,0.265494492032114,498.060396223293,"index","Oregon",27,"rougheye rockfish"
2009,586.270213777031,319.787018070701,1074.81775100131,6.37378079895632,0.309253434278236,519.185696842026,"index","Oregon",27,"rougheye rockfish"
2010,495.098956989016,277.057091460078,884.738145195363,6.20475765569785,0.296196291856695,439.229152481388,"index","Oregon",27,"rougheye rockfish"
2011,679.2263880561,381.814516666401,1208.30525318875,6.52095448591513,0.293892927747005,601.238803981315,"index","Oregon",27,"rougheye rockfish"
2012,354.459307878352,180.511317731069,696.030600855645,5.87059355201648,0.344292078538579,313.171623630342,"index","Oregon",27,"rougheye rockfish"
2013,611.812232678312,322.492982165923,1160.68946846799,6.41642542608755,0.326712151787103,543.269247668642,"index","Oregon",27,"rougheye rockfish"
