"year","mean_depth","ci_lower","ci_upper"
2003,-495.584629419763,-499.980387755989,-490.345001720821
2004,-488.79055570904,-493.997093260379,-482.991728884317
2005,-484.760122788384,-489.388409898903,-480.180359927519
2006,-497.050033741639,-501.822164691851,-491.474413231233
2007,-493.73365676314,-498.964163264566,-488.699697594131
2008,-493.179461470842,-498.088662779469,-488.526430993313
2009,-473.819502650247,-478.05533947054,-469.480132608014
2010,-480.591385055882,-485.875986547213,-475.444286242904
2011,-473.979104383411,-479.364942220252,-468.648589832934
2012,-464.047186120296,-469.195931984733,-458.927770122074
2013,-482.204846195137,-486.365641305668,-477.042209921935
2014,-462.732854446845,-467.286876815956,-458.696116877832
2015,-491.21561531222,-496.147177248039,-486.455156905889
2016,-479.536651747329,-484.291632193352,-475.265939222025
2017,-469.149030986113,-473.890266873449,-464.609198958535
2018,-473.553394152885,-478.560691900418,-468.705781315995
2019,-460.939188826944,-465.514462728077,-456.59494499375
2021,-487.113342285623,-491.409577403634,-481.81842398859
2022,-469.267159139213,-474.000507181848,-464.863205617882
2023,-480.283617658889,-485.026878815984,-475.377311063231
2024,-461.423109927699,-465.476599868612,-456.614980091874
2025,-469.901443533779,-475.158113895735,-465.468595590682
