"year","mean_depth","ci_lower","ci_upper"
2003,-548.577581264716,-554.245924956896,-542.752528273685
2004,-522.603885445427,-527.699723195656,-517.522890081825
2005,-682.164445361767,-686.385282193426,-677.470396729291
2006,-691.215818683494,-696.13064792963,-686.023913892265
2007,-732.681287454777,-736.603708638014,-729.513763727599
2008,-733.754305446028,-737.63249219379,-730.007200320117
2009,-737.275708601882,-741.701804256327,-732.964901656762
2010,-626.285736306166,-632.766386776233,-620.017814811905
2011,-729.904765719403,-733.929323065189,-725.613502630086
2012,-698.829088927438,-702.905567962676,-694.676591505125
2013,-744.767326761161,-748.381807621166,-741.277505769654
2014,-639.161909502773,-644.452079889366,-634.084773338383
2015,-727.338324891894,-732.228721565989,-721.690822715594
2016,-639.763844899451,-644.655407932579,-634.171121773933
2017,-276.05994503446,-280.823099549868,-271.592997070457
2018,-344.655581789425,-351.274144719809,-339.672964533933
2019,-646.686912052989,-651.59478841854,-641.613420882005
2021,-466.794367790752,-472.745424581335,-461.771035013035
2022,-542.411214960451,-547.645684413053,-536.054163844056
2023,-478.516753255654,-485.885758287991,-469.963648506301
2024,-451.101856225914,-455.98201025215,-445.60879306284
2025,-573.1656030429,-577.851628187971,-568.138126400346
