"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,104522.300155759,92548.6607220883,118045.049432499,11.5571557262405,0.0620755688172046,82489.75163685,"index","Coastwide",30,"sablefish"
2004,118438.403918554,103260.06826613,135847.823445376,11.6821483062598,0.0699718401965404,91614.5375357133,"index","Coastwide",30,"sablefish"
2005,104594.846142825,92918.1452815096,117738.917479429,11.5578495573419,0.0603966868627792,82054.2731980132,"index","Coastwide",30,"sablefish"
2006,98919.902076765,87824.365917268,111417.223736002,11.5020657317113,0.0607008472528273,77622.9593552058,"index","Coastwide",30,"sablefish"
2007,91740.600658274,81783.9513277099,102909.405482458,11.4267203155275,0.0586153659604069,72409.8312576963,"index","Coastwide",30,"sablefish"
2008,68659.4453841575,60978.3825238742,77308.043364621,11.1369139892651,0.060531364203173,53887.3583561565,"index","Coastwide",30,"sablefish"
2009,65080.1025134692,57750.2086003455,73340.3366985987,11.0833741365233,0.0609663733421413,50992.4039719529,"index","Coastwide",30,"sablefish"
2010,66152.6539422162,59032.4791067346,74131.6253326615,11.099720288802,0.0581016921452787,52088.7147865907,"index","Coastwide",30,"sablefish"
2011,76062.9058870662,67877.9361048842,85234.8492600733,11.2393159859466,0.0580876347797417,60005.595863971,"index","Coastwide",30,"sablefish"
2012,66814.896964527,59689.7310050524,74790.5943151675,11.1096813431131,0.0575347656298148,52896.1447429046,"index","Coastwide",30,"sablefish"
2013,75735.6589060118,66148.6231365682,86712.1605552643,11.2350043840753,0.0690548551291716,58677.4001800671,"index","Coastwide",30,"sablefish"
2014,78705.20936738,70216.6703304438,88219.9334205312,11.2734646249389,0.0582273934224509,62274.1284420152,"index","Coastwide",30,"sablefish"
2015,77767.8715299252,69094.1604818544,87530.4338328744,11.2614836625338,0.060336906955385,61085.9562404553,"index","Coastwide",30,"sablefish"
2016,81774.8651800986,73054.0439974784,91536.7337563698,11.3117252037363,0.057536990307397,64559.1080995566,"index","Coastwide",30,"sablefish"
2017,111374.081020535,97396.3793249016,127357.772528585,11.6206499135205,0.0684224806650933,88509.2080084941,"index","Coastwide",30,"sablefish"
2018,110442.644393454,98042.937308463,124410.569853113,11.6122516099213,0.060761735093478,87361.0574617605,"index","Coastwide",30,"sablefish"
2019,96274.4094175109,81540.1605426522,113671.126559068,11.4749578243357,0.0847499649954874,73460.6276867315,"index","Coastwide",30,"sablefish"
