"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,64598.838613342,30784.4840674269,135555.624094674,11.0759517114874,0.378162884291994,56130.927438499,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2004,24611.0263687913,10021.1405902417,60442.482916082,10.1109498478706,0.458425591202635,21333.8107133684,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2005,8944.7663805101,3740.04830281662,21392.4631779888,9.09882387827477,0.444890865156693,7741.33392784423,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2006,11197.4623558177,5033.09693783286,24911.7322313966,9.32344245623769,0.407993052681958,9704.21577361192,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2007,12067.8936603311,4952.48955084087,29406.2321388103,9.39830378853405,0.45442575826118,10426.1188091222,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2008,23882.9025753069,8627.48655915887,66113.4655511083,10.0809181084998,0.519504245724516,20580.2374304123,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2009,6377.53543240918,2768.08834764064,14693.5188056053,8.76053700584674,0.42583679021743,5518.97344318761,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2010,2734.10381871035,1224.1937757885,6106.32388379175,7.91355898975618,0.40996734225708,2368.26490523689,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2011,16196.7733980559,7664.77945784736,34226.0948212134,9.6925673284234,0.381729621592844,14047.2896252447,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2012,10329.4655339684,4582.23120017703,23285.1319709313,9.24275582156591,0.414708896634349,8946.65801474332,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2013,12041.8953507861,5193.89545238301,27918.7836891774,9.39614712763504,0.42904250832367,10457.8980961363,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2014,14838.2602734046,7265.28840021136,30304.9178247199,9.60496427759877,0.364343942443683,12889.9813892995,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2015,17284.4793963611,8383.05805502079,35637.7381669572,9.75756423309168,0.369188510022579,15008.3168779875,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2016,9669.77016354109,4743.85694648407,19710.6396905604,9.17675982017533,0.363350571841894,8397.23007019582,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2017,16281.5901150198,7860.42494335412,33724.6622903816,9.69779030769961,0.371534561574448,14136.8411707384,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2018,12515.2022496528,5764.08576877845,27173.4831216623,9.43469936431482,0.39556723151141,10860.4004083578,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2019,11603.749446471,4699.08183280514,28653.895805023,9.35908355301154,0.461213137715924,10085.7237206188,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2021,17006.8827235505,8410.92284895598,34387.9102408485,9.7413734071934,0.359234625464085,14777.3312587964,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2022,10072.7680690712,4271.21722581303,23754.5063173386,9.2175908306673,0.43773084977168,8718.7677252791,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2023,8333.66274560535,3648.51090326128,19035.1451863311,9.0280583438736,0.421428127641455,7219.0296789236,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2024,34336.4875536883,16303.8031190195,72314.0710739577,10.4439638448196,0.380012169065041,29776.1596767544,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2025,13503.7644240689,5827.24202697323,31292.9603364123,9.51072377178346,0.428795976200706,11674.1336999929,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
