"year","mean_depth","ci_lower","ci_upper"
2003,-609.148453815745,-615.465541858839,-602.601205607776
2004,-708.634685631127,-714.953681071216,-701.920249592855
2005,-492.928318791296,-497.283369348122,-487.8725455374
2006,-559.057644491959,-565.32376859097,-553.398591757645
2007,-500.175729497464,-505.455357345963,-494.325790311131
2008,-543.007369008682,-549.679506810267,-536.99711614416
2009,-658.884074346691,-665.175668586823,-650.433481576659
2010,-619.154428389315,-625.059775327423,-611.945575002781
2011,-538.884693448951,-545.094372283614,-533.429479274609
2012,-608.288121616671,-614.728343535777,-602.137775157373
2013,-439.226835046625,-443.82538266397,-435.215037912912
2014,-477.387920715568,-482.598220965792,-471.828867529333
2015,-522.629561836898,-528.60101059571,-516.620764860016
2016,-415.139240964214,-418.327717652049,-411.474316027165
2017,-567.632966888785,-574.342522890661,-561.7001441798
2018,-713.355934716366,-719.136484070446,-706.320541250431
2019,-549.894302381258,-556.389586494604,-543.74685264719
2021,-617.347642412406,-624.246460385651,-611.058072229228
2022,-473.029334636778,-477.582517984809,-467.891480369805
2023,-499.744263777205,-506.027111056297,-493.251203254817
2024,-759.004540500157,-766.178427745018,-752.506686442603
2025,-597.822982222636,-604.54376712302,-590.691530378173
