"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,20635.0767165087,12683.5567670917,33571.5287844953,9.93474765996551,0.248313730767509,12628.0628143599,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2004,39803.3082907182,23329.9019404609,67908.7016708934,10.5917053107004,0.27256324762071,23906.3780667386,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2005,32031.9242593909,19632.4692358081,52262.6145206396,10.3744883175826,0.249774104626217,20205.1961681361,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2006,26305.7082589364,15060.4300743365,45947.5780962887,10.1775412386812,0.284553790141765,15980.1260743651,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2007,20084.1185776827,12322.4469142399,32734.7175321388,9.90768466122414,0.249242758817032,12186.550771971,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2008,25774.6801272984,15975.307398977,41585.0611868098,10.157147898616,0.244059779070496,15728.5168766443,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2009,19184.6091443704,12461.7076899992,29534.413515222,9.86186362949309,0.220130469832021,12011.1865842595,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2010,13746.1437069541,8887.41482212487,21261.1283026686,9.52851360608305,0.222515372458885,8288.96859274124,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2011,43866.6807195861,24932.0406154697,77181.2346623622,10.6889103295605,0.28827126775795,27006.9576974965,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2012,32684.7967043255,18874.1700944182,56600.9488236529,10.3946653161812,0.280166225435599,20153.5006737845,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2013,28918.1882747487,16559.0382926741,50501.8225281709,10.272226028209,0.284463735286865,17378.0568671234,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2014,33018.1169341205,18852.8676515471,57826.5368444252,10.404811687808,0.285919221407738,20925.2515702905,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2015,27451.8545543637,15596.812830861,48317.8407438988,10.2201890058345,0.28845792251477,17100.5033435087,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2016,56561.7720451456,30786.8551207395,103915.584892978,10.9430886304394,0.310335056749474,35764.7625287747,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2017,36918.5856844251,22551.8545376467,60437.6889121449,10.5164703803106,0.251483089236314,22730.1319051955,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2018,42934.346788284,27538.174345504,66938.2839620809,10.6674274090229,0.226585250266575,26952.2740783157,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2019,49835.531067192,27124.1191925759,91563.5320401051,10.8164834838551,0.310365328394247,29337.593855485,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2021,56311.1526228893,36203.8251811477,87585.9358466223,10.9386478872789,0.2253754816641,34728.2620570107,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2022,54739.200064078,32206.9471466519,93035.2079013067,10.910335369117,0.270616151696085,33211.6637072056,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2023,35113.0778856494,21761.9825728569,56655.1431826565,10.4663289293945,0.244090771801756,21239.6348629522,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2024,52394.0640040586,33477.2593994985,82000.0798184368,10.8665485815269,0.228538341340846,33084.1486457014,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2025,61794.7913724821,38767.3668523474,98500.2735757732,11.0315743578952,0.237882048016087,37853.249335273,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
