"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,4830.55397969059,1931.56731013972,12080.4755952391,8.4827164356577,0.467676657710643,3680.31649325346,"index","Coastwide",41,"widow rockfish"
2004,1565.35752286498,469.824440197959,5215.4463768584,7.35586952599873,0.614047218245708,1190.358087307,"index","Coastwide",41,"widow rockfish"
2005,1928.4037729491,760.654235603982,4888.87189140742,7.56444787904744,0.474635752029611,1467.50853758384,"index","Coastwide",41,"widow rockfish"
2006,1922.43362521215,864.511545038055,4274.958575809,7.56134717553653,0.407753674160338,1465.75674592176,"index","Coastwide",41,"widow rockfish"
2007,1685.36729441428,770.9658002787,3684.29172351679,7.4297387979134,0.399035282851182,1285.03001093749,"index","Coastwide",41,"widow rockfish"
2008,667.339105471402,266.601979665967,1670.43576439062,6.5032983207272,0.468142014161398,507.564082196268,"index","Coastwide",41,"widow rockfish"
2009,3147.25018532564,1506.20251421758,6576.26290989007,8.05428439353131,0.375995440953413,2402.34326177669,"index","Coastwide",41,"widow rockfish"
2010,3090.0467514969,1430.82481483802,6673.34591028703,8.0359414997116,0.39283127405364,2357.24883683594,"index","Coastwide",41,"widow rockfish"
2011,7132.05648644183,3237.79809765142,15710.1302155602,8.87235489909214,0.402918689862456,5444.58843117205,"index","Coastwide",41,"widow rockfish"
2012,1662.34987939753,781.443314654722,3536.28608717958,7.41598747034614,0.38513200400646,1269.40383398663,"index","Coastwide",41,"widow rockfish"
2013,8816.89582022757,3254.04700237064,23889.5295145131,9.08442513923266,0.508565675150331,6718.33459884042,"index","Coastwide",41,"widow rockfish"
2014,3476.9475269538,1615.75941569655,7482.03228014523,8.15391004042254,0.391001923961344,2653.72401372194,"index","Coastwide",41,"widow rockfish"
2015,1331.63577437196,537.801651922638,3297.22645746409,7.19416337104438,0.462597049096828,1013.93280942436,"index","Coastwide",41,"widow rockfish"
2016,31223.239598517,15063.0245131462,64720.7796930538,10.3489179554547,0.371904611068382,23878.3309550732,"index","Coastwide",41,"widow rockfish"
2017,7828.50330010433,3477.87514335479,17621.5250385981,8.96552662130151,0.413961599503566,5975.55789276669,"index","Coastwide",41,"widow rockfish"
2018,6336.33722301095,3126.15917630895,12842.9702837839,8.7540561554067,0.360463626459459,4842.3981130836,"index","Coastwide",41,"widow rockfish"
2019,4614.95855136559,2019.74941161453,10544.7944722002,8.43705816561072,0.42160439838942,3533.50875326012,"index","Coastwide",41,"widow rockfish"
2021,1265.72202832306,512.610313718722,3125.28291005343,7.14339801171037,0.46117279945409,962.254709215554,"index","Coastwide",41,"widow rockfish"
2022,1332.80057822565,543.217597763591,3270.06597104332,7.19503770525526,0.457930727372088,1013.81593659513,"index","Coastwide",41,"widow rockfish"
2023,2264.45684279787,1097.57891951691,4671.88709778706,7.72509020465519,0.369510949976691,1729.16908073795,"index","Coastwide",41,"widow rockfish"
2024,5573.17567889649,2753.84134299647,11278.8949250237,8.62572031029115,0.359684283937212,4257.99825791997,"index","Coastwide",41,"widow rockfish"
2003,1123.36954789527,443.407353527323,2846.04919404132,7.02408797264109,0.47429396586831,827.53976968681,"index","California",41,"widow rockfish"
2004,361.401503801618,109.061168122269,1197.59442520955,5.88998953919435,0.611276864463785,265.732845360415,"index","California",41,"widow rockfish"
2005,446.457881323317,179.687598323149,1109.28434491757,6.10134506512428,0.464358168885762,328.535172936612,"index","California",41,"widow rockfish"
2006,448.970181041744,204.655830854341,984.942489169156,6.10695647360313,0.40083735488561,330.975254813212,"index","California",41,"widow rockfish"
2007,393.964585903426,179.41314540084,865.08764226443,5.97626102176433,0.401318497062317,290.419608129811,"index","California",41,"widow rockfish"
2008,154.002233671394,61.8820230714482,383.256506471933,5.03696710666815,0.465180684556987,113.262176794244,"index","California",41,"widow rockfish"
2009,739.27235197888,359.590728808682,1519.84900225601,6.60566639429697,0.367710774112426,545.574168450965,"index","California",41,"widow rockfish"
2010,721.060553498234,329.997291599748,1575.55330012162,6.58072311919281,0.398802568927249,531.654273708596,"index","California",41,"widow rockfish"
2011,1664.54849006819,739.087254505132,3748.84245249699,7.41730918850315,0.414238837999068,1228.09664873179,"index","California",41,"widow rockfish"
2012,387.049097444381,178.123850329489,841.027204135778,5.95855155176422,0.395962610116453,285.531593085036,"index","California",41,"widow rockfish"
2013,2053.3869563456,757.651717760388,5565.08735300421,7.62724588262184,0.508694080955108,1512.61220592541,"index","California",41,"widow rockfish"
2014,812.270663727246,367.417990314732,1795.73033586822,6.69983361433303,0.404769415380558,599.135094676662,"index","California",41,"widow rockfish"
2015,307.963828560238,114.309502292146,829.692351026848,5.7299823363375,0.505658594823802,226.652127433268,"index","California",41,"widow rockfish"
2016,7394.33904814076,3465.64567382287,15776.641672242,8.90846999294093,0.386647797103574,5466.37729651488,"index","California",41,"widow rockfish"
2017,1830.22679944027,805.561122654496,4158.2569505729,7.51219517227663,0.418709781087713,1350.24436669012,"index","California",41,"widow rockfish"
2018,1487.43536786994,712.356490456661,3105.8381628166,7.30480868630433,0.375634561226052,1098.65131131058,"index","California",41,"widow rockfish"
2019,1099.53325687428,474.715509028458,2546.73243232944,7.00264105680821,0.428541221772016,813.677867772217,"index","California",41,"widow rockfish"
2021,291.480034564272,116.641688841618,728.3897497828,5.67497151138404,0.467286527384145,214.275264586804,"index","California",41,"widow rockfish"
2022,307.268542031101,125.429635509437,752.724478058573,5.72772209497709,0.457139607635747,225.974876241588,"index","California",41,"widow rockfish"
2023,531.850404608346,251.052995372931,1126.71371421749,6.27636225545389,0.383016324578327,392.610679455789,"index","California",41,"widow rockfish"
2024,1312.01473481869,663.596184099214,2594.02134253985,7.1793192002479,0.347784651976999,968.972710897109,"index","California",41,"widow rockfish"
2003,2887.10393677949,1074.97405246254,7754.01892043166,7.96800918067041,0.504069148942016,2218.02719714086,"index","Oregon",41,"widow rockfish"
2004,940.837493751629,271.388787250979,3261.64982206962,6.84677042940258,0.634306552129776,721.425080977933,"index","Oregon",41,"widow rockfish"
2005,1157.10776982142,432.002305856623,3099.2852881333,7.05367886876893,0.502686758878992,887.912282886093,"index","Oregon",41,"widow rockfish"
2006,1147.40482456419,479.65050188549,2744.7856851143,7.0452579969386,0.445008319641205,882.194935979589,"index","Oregon",41,"widow rockfish"
2007,1005.54428903085,438.504923312507,2305.83344324725,6.91328425501627,0.423432890701419,773.123852291978,"index","Oregon",41,"widow rockfish"
2008,401.451473487119,152.184623671904,1058.99848274049,5.99508666303651,0.494903098978614,307.888053402615,"index","Oregon",41,"widow rockfish"
2009,1869.11249941794,830.468403124187,4206.7603322868,7.53321899794902,0.413900011237113,1438.63153181788,"index","Oregon",41,"widow rockfish"
2010,1841.9554212601,808.819556817218,4194.75486876264,7.51858301525209,0.419909332155523,1416.88733493382,"index","Oregon",41,"widow rockfish"
2011,4251.58432356325,1829.11568795284,9882.35428705967,8.35504697446739,0.430344170967138,3272.90809744595,"index","Oregon",41,"widow rockfish"
2012,992.67242026932,429.47734356821,2294.41331125037,6.90040072066649,0.42747302397215,764.520601947877,"index","Oregon",41,"widow rockfish"
2013,5269.7817100969,1896.73882479081,14641.2352133587,8.56974421944354,0.521363119460372,4049.30541329486,"index","Oregon",41,"widow rockfish"
