"year","mean_depth","ci_lower","ci_upper"
2003,-456.914511170701,-461.199765042841,-452.549209344001
2004,-453.945436748499,-458.288531723362,-449.789464975407
2005,-456.55241091394,-460.865865891331,-452.346440222602
2006,-458.637699600034,-462.818993627436,-454.168329893079
2007,-459.436091252638,-464.716293620168,-454.979379167807
2008,-453.543028258938,-458.259779404275,-449.263898515765
2009,-463.235549434774,-467.336953985947,-458.82422699696
2010,-460.88088596841,-465.069555950889,-456.535163226621
2011,-461.767659072686,-465.771647849903,-457.685327792133
2012,-462.891879842632,-467.3247687064,-458.345524084941
2013,-456.049362643399,-460.526288398128,-451.586648854615
2014,-460.725738585371,-465.057774314735,-456.547166726763
2015,-455.358867409652,-459.739256647569,-450.87807065686
2016,-467.332901912045,-472.540263231775,-462.652233425624
2017,-461.746199557668,-466.34841247999,-456.960621311647
2018,-465.219251082913,-470.232742391413,-460.550395891237
2019,-471.522505661271,-476.012789332266,-467.215564416752
2021,-453.365889567546,-457.880375829325,-448.865597540629
2022,-454.196675973751,-458.275865925799,-449.534028427309
2023,-463.773576860123,-467.652073415917,-459.953068696502
2024,-464.536034653268,-468.258629665008,-460.701990400191
2025,-454.497857032123,-459.086340797239,-450.52244162234
