"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,2416.99010131863,1021.14188074147,5720.8907596958,7.7902782852539,0.439600687059285,2291.01392000308,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2004,1178.78254748679,387.8606333745,3582.54531317125,7.07223744543225,0.567148871834303,1113.79511181304,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2005,1241.25158291172,529.385883928107,2910.36376083289,7.12387549061474,0.434782410382457,1174.27593410345,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2006,1409.09651881044,665.213638088542,2984.83507498294,7.25070401119232,0.382964058404431,1337.97998615049,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2007,1716.23524001275,817.969777513273,3600.94404467631,7.44788835690696,0.378100298596028,1629.29529006333,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2008,705.655883141908,281.100488155963,1771.4313791462,6.55912770102063,0.469608367183244,666.900267669948,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2009,2373.916274233,1190.65614080066,4733.08647556186,7.77229630674356,0.352065904889208,2259.75988543915,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2010,2532.22337394678,1213.9897442607,5281.88581977462,7.83685299973101,0.375101523210115,2406.67171016047,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2011,2957.60831084823,1486.57146195926,5884.30973164899,7.99213621761585,0.350980175037617,2814.98284436271,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2012,1537.76956554083,773.940139457342,3055.44979016296,7.33808831149369,0.350309386046353,1463.62052106756,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2013,2096.85858780231,827.382210283248,5314.12916859195,7.64819559314989,0.474462208200913,1988.47553596385,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2014,2011.28463707703,986.263974831166,4101.60564978008,7.60652891982494,0.363580598277384,1912.805171855,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2015,1068.64888588551,465.86707106813,2451.36544784324,6.97415040607742,0.423604757236509,1011.96529144467,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2016,6797.9423044416,3699.70764661138,12490.7219674082,8.82437524308289,0.310396602590888,6496.34794590688,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
