"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,1270.86625682484,624.100850132818,2587.88470227568,7.14745403892168,0.362834251250519,1102.88013657394,"index","Coastwide",36,"yelloweye rockfish"
2004,423.460101036193,147.052464197763,1219.41824061124,6.04845929722454,0.539637403114277,364.382774826814,"index","Coastwide",36,"yelloweye rockfish"
2005,512.629016643615,224.100722212548,1172.6357064381,6.23955241912384,0.422179602341972,443.0260052256,"index","Coastwide",36,"yelloweye rockfish"
2006,631.018675783385,269.935304187698,1475.11112110975,6.44733545922428,0.43324936057785,544.667942922183,"index","Coastwide",36,"yelloweye rockfish"
2007,537.273226904214,220.324318060962,1310.17094657793,6.2865067675415,0.454807405004574,463.328724244185,"index","Coastwide",36,"yelloweye rockfish"
2008,976.299401863317,441.601846517166,2158.41607003249,6.88376930357479,0.404783268189536,846.253245592237,"index","Coastwide",36,"yelloweye rockfish"
2009,831.90055167828,332.134309540308,2083.67069587142,6.72371290444418,0.468464460453852,717.459505743551,"index","Coastwide",36,"yelloweye rockfish"
2010,663.985361878548,306.965701909037,1436.24045959255,6.4982601038698,0.393641969329768,573.431721959891,"index","Coastwide",36,"yelloweye rockfish"
2011,677.062112422,290.576083906367,1577.60094332146,6.51776301526512,0.431588321623551,584.23691930495,"index","Coastwide",36,"yelloweye rockfish"
2012,916.816588933207,382.973614781658,2194.80566101751,6.82090744018291,0.445386420960032,793.398328226044,"index","Coastwide",36,"yelloweye rockfish"
2013,911.456119410938,392.127684689757,2118.57588751715,6.81504345188578,0.430342570341234,790.776176662302,"index","Coastwide",36,"yelloweye rockfish"
2014,2149.57686545552,1067.02644154548,4330.42755136319,7.67302629498784,0.357351088240909,1865.3571347581,"index","Coastwide",36,"yelloweye rockfish"
2015,655.759303680668,267.609827345878,1606.89264900562,6.48579380649333,0.457285828704092,565.709231855285,"index","Coastwide",36,"yelloweye rockfish"
2016,1264.49412072268,672.670147797341,2377.01254705292,7.14242741661141,0.322032616026639,1101.62839387008,"index","Coastwide",36,"yelloweye rockfish"
2017,452.803670076836,220.994964671534,927.763960322765,6.11545863214949,0.365985661390273,393.043874586425,"index","Coastwide",36,"yelloweye rockfish"
2018,620.142020146547,328.419923919371,1170.989020891,6.42994851656031,0.324319975350117,540.295195791935,"index","Coastwide",36,"yelloweye rockfish"
2019,650.564053846782,234.663138495581,1803.57933875298,6.4778397617394,0.520258911503291,563.981529325834,"index","Coastwide",36,"yelloweye rockfish"
2021,855.886412533597,404.554745792555,1810.73528064668,6.75213767169858,0.382328761336186,743.496296284565,"index","Coastwide",36,"yelloweye rockfish"
2022,741.819316437576,364.730955643789,1508.77212291614,6.60910570467005,0.362223865494622,643.960703027301,"index","Coastwide",36,"yelloweye rockfish"
2023,615.453386305205,260.275106607217,1455.3173204004,6.42235920970252,0.439099923537227,532.13433159105,"index","Coastwide",36,"yelloweye rockfish"
2024,636.812328601506,335.51654364004,1208.67346050735,6.45647499458383,0.3269466857758,553.134687508264,"index","Coastwide",36,"yelloweye rockfish"
2003,177.457685023919,76.1763602750942,413.398984413599,5.17873218626361,0.431477828666257,141.69511624392,"index","California",36,"yelloweye rockfish"
2004,54.3201226233446,16.8589686569468,175.021128626356,3.99489474067323,0.596955847249771,43.0241321088018,"index","California",36,"yelloweye rockfish"
2005,68.4348766368831,27.2163112040592,172.07814480042,4.22588258702966,0.47045054098708,54.4013945466226,"index","California",36,"yelloweye rockfish"
2006,83.2343273416215,31.1255288223758,222.581061595707,4.42165985097668,0.50186203104637,66.0915490658237,"index","California",36,"yelloweye rockfish"
2007,70.2678712288038,26.073564589523,189.370874476127,4.25231467057707,0.505821907098651,55.7519623298673,"index","California",36,"yelloweye rockfish"
2008,134.488933731213,54.095462151416,334.358420777169,4.90148191856559,0.464667525687545,107.23814178603,"index","California",36,"yelloweye rockfish"
2009,108.874812647943,39.4862318386101,300.198937127598,4.69019871437158,0.517482296753472,86.3888400893256,"index","California",36,"yelloweye rockfish"
2010,88.0359974694863,35.3701595619675,219.12077713048,4.47774579298835,0.465252058584047,69.9379071584572,"index","California",36,"yelloweye rockfish"
2011,89.0570676964616,33.8340068744882,234.413894166122,4.4892773743174,0.4937901740621,70.6966768212929,"index","California",36,"yelloweye rockfish"
2012,124.08091853064,46.7975142422238,328.993421824018,4.82093392157009,0.497511098280891,98.766353374214,"index","California",36,"yelloweye rockfish"
2013,126.890223842076,47.9885381750748,335.520303784856,4.84332233347123,0.496111227944425,101.287309727108,"index","California",36,"yelloweye rockfish"
2014,299.997626447007,128.749238304529,699.022200511708,5.70377456278159,0.431593613968925,239.526909248467,"index","California",36,"yelloweye rockfish"
2015,86.0476698228439,30.8441883647916,240.051752841485,4.45490144295149,0.52345507472399,68.2925871384444,"index","California",36,"yelloweye rockfish"
2016,185.827775215263,85.9449510173635,401.791630953142,5.22482030506334,0.393432391766308,149.188180910487,"index","California",36,"yelloweye rockfish"
2017,63.4055273041755,26.7736956175271,150.157115033784,4.14955103909697,0.439870909456729,50.6422212135242,"index","California",36,"yelloweye rockfish"
2018,91.2017751099607,42.059303515062,197.762756110052,4.51307436081587,0.394902026824032,73.2254761981188,"index","California",36,"yelloweye rockfish"
2019,89.751295416804,28.2529344578655,285.113570804744,4.49704246087764,0.589727741520883,71.5761647729053,"index","California",36,"yelloweye rockfish"
2021,120.970605120013,52.5155837440462,278.65799558519,4.79554758319131,0.42574130494336,96.7130570763232,"index","California",36,"yelloweye rockfish"
2022,103.962527115366,44.7730292184292,241.399950659682,4.6440305180135,0.429816360352784,83.0423630467733,"index","California",36,"yelloweye rockfish"
2023,82.5423306178663,31.7006801625083,214.923979829525,4.41331126014904,0.488260565405245,65.6448292742729,"index","California",36,"yelloweye rockfish"
2024,89.8956460295702,41.2924352303877,195.707207143034,4.49864950904301,0.396930861140303,71.8601191883449,"index","California",36,"yelloweye rockfish"
2003,523.322440566034,247.690431363333,1105.68008337093,6.2601977952526,0.381648895258202,451.111016243788,"index","Oregon",36,"yelloweye rockfish"
2004,173.676596254055,58.9484165145127,511.694153463273,5.15719492757776,0.551302049925057,148.040051523569,"index","Oregon",36,"yelloweye rockfish"
2005,210.736723316911,89.9600563767659,493.663169444366,5.35060959758752,0.434316064235907,180.647255939757,"index","Oregon",36,"yelloweye rockfish"
2006,259.24766403632,110.179326848479,609.999654478888,5.55778383660162,0.43657667226897,221.869494798474,"index","Oregon",36,"yelloweye rockfish"
2007,220.628014012424,88.6371847309848,549.168170388094,5.39647808884036,0.465277236849927,188.5928618484,"index","Oregon",36,"yelloweye rockfish"
2008,401.856821233,174.639997419562,924.695986930901,5.99609585908975,0.425196160846491,345.853533653117,"index","Oregon",36,"yelloweye rockfish"
2009,341.628409216934,131.29055052416,888.944173957257,5.83372362361134,0.487922646041207,292.052072324532,"index","Oregon",36,"yelloweye rockfish"
2010,272.865531633807,121.255706480615,614.037891616286,5.60897911572044,0.413822666972626,233.689461708219,"index","Oregon",36,"yelloweye rockfish"
2011,278.121549287142,118.216707049347,654.320341925882,5.62805824578607,0.436507411337989,237.929258242297,"index","Oregon",36,"yelloweye rockfish"
2012,377.123777656376,150.974673034576,942.027830331807,5.93257345625787,0.467080706063877,323.855792598954,"index","Oregon",36,"yelloweye rockfish"
2013,375.290868980152,155.345794390291,906.643381577638,5.92770137592267,0.450032663479259,323.393755839034,"index","Oregon",36,"yelloweye rockfish"
2014,885.148251715125,424.591681609185,1845.27267360716,6.78575514704097,0.374816677694764,762.963265175437,"index","Oregon",36,"yelloweye rockfish"
2015,269.334622528923,108.854562401077,666.404212122208,5.59595455645882,0.462223725655874,230.334543320617,"index","Oregon",36,"yelloweye rockfish"
2016,521.192925608322,273.952347150591,991.566849233242,6.25612027188214,0.328151997282159,451.682321166651,"index","Oregon",36,"yelloweye rockfish"
2017,186.471739044496,90.4608668694479,384.383995705689,5.22827969432807,0.369069203886707,160.792876851015,"index","Oregon",36,"yelloweye rockfish"
2018,255.608857887034,132.521378369254,493.021496111091,5.54364837717298,0.335161464067774,221.53403164764,"index","Oregon",36,"yelloweye rockfish"
2019,267.79341157984,92.854577045637,772.318539023914,5.59021583093741,0.54040852671565,230.514637450887,"index","Oregon",36,"yelloweye rockfish"
2021,352.550124156491,160.642537012851,773.715308248741,5.86519280833203,0.401033480714773,304.317688674307,"index","Oregon",36,"yelloweye rockfish"
