"year","mean_depth","ci_lower","ci_upper"
2003,-283.023996460987,-287.557640207987,-278.993543905118
2004,-269.115347432373,-274.192075661204,-264.865080242141
2005,-274.179512612289,-278.598647866646,-269.895387872981
2006,-274.688662961832,-279.45450613451,-270.089302686243
2007,-270.538504444732,-274.950155506895,-265.947374239115
2008,-279.890366911543,-284.500958024339,-275.574199049682
2009,-267.294086860614,-271.453613234075,-263.433187454151
2010,-275.532955221444,-280.113441682116,-270.858853046784
2011,-270.520673561948,-275.30515052089,-265.543319205072
2012,-276.242309369077,-280.349412924639,-272.267827767853
2013,-280.567955881406,-285.069901541189,-276.014958796009
2014,-284.670891680974,-288.959848485188,-280.165706280626
2015,-272.961171148929,-278.096767395194,-267.771997380527
2016,-289.521402061867,-293.573559809218,-285.335315992622
2017,-283.36851592781,-288.229561699681,-278.424911251122
2018,-288.331929892751,-293.602625936844,-284.192692019205
2019,-282.471854555176,-288.166182268972,-277.970145322142
2021,-282.869068195746,-287.047763289274,-278.555745938317
2022,-281.341975601751,-285.822442441262,-276.582982408315
2023,-272.927812507129,-277.399813409381,-268.481847803837
2024,-284.082064004608,-288.656670242133,-279.832198084215
2025,-274.687325191106,-278.775303679884,-270.110173896194
