"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,15775.3527494804,7970.78925190961,31221.7205229603,9.66620404845768,0.348304999029584,14234.3294557976,"index","Coastwide",39,"yellowtail rockfish"
2004,11067.4078673335,4918.57782078825,24903.0352603604,9.31175983995755,0.413775528259537,9919.56049344444,"index","Coastwide",39,"yellowtail rockfish"
2005,19069.0178923006,10539.3222996023,34501.9758424698,9.85582019712674,0.30253192391603,17391.7501833888,"index","Coastwide",39,"yellowtail rockfish"
2006,9114.9031077713,4517.53358882906,18390.8889730234,9.11766605708054,0.358141580615436,8210.71631828877,"index","Coastwide",39,"yellowtail rockfish"
2007,13723.1144955012,7622.06001937627,24707.739243445,9.52683687956364,0.300023331197617,12425.6393385037,"index","Coastwide",39,"yellowtail rockfish"
2008,8957.01291065921,4459.19675694896,17991.5990826583,9.10019206987856,0.355857631020069,8056.07596965232,"index","Coastwide",39,"yellowtail rockfish"
2009,7446.453784462,3828.13952703527,14484.7578236188,8.91549319596301,0.339475112927539,6731.64514941695,"index","Coastwide",39,"yellowtail rockfish"
2010,19194.6864094655,10611.7560361794,34719.6057939501,9.86238877020666,0.30238874250609,17330.0742040153,"index","Coastwide",39,"yellowtail rockfish"
2011,16332.8686268748,9121.58819980411,29245.1919270462,9.70093483660408,0.297217514493498,14824.5170451853,"index","Coastwide",39,"yellowtail rockfish"
2012,17292.827238724,9351.40216557053,31978.2925184579,9.7580470840328,0.313661635423216,15734.8847037684,"index","Coastwide",39,"yellowtail rockfish"
2013,9937.57712712573,4155.44316273884,23765.3206385052,9.20407852015267,0.444857236015172,8856.36696649549,"index","Coastwide",39,"yellowtail rockfish"
2014,31023.067684949,17907.4032022861,53744.8516523078,10.3424863256174,0.280370882784898,28316.2112916151,"index","Coastwide",39,"yellowtail rockfish"
2015,20130.1675916654,11993.1972814277,33787.7913420177,9.90997484406691,0.264229329386054,18345.2271676132,"index","Coastwide",39,"yellowtail rockfish"
2016,49084.4286674868,31428.60962728,76658.852115505,10.8012971284029,0.227465014779662,45025.8787530685,"index","Coastwide",39,"yellowtail rockfish"
2017,40752.4359839625,25308.1879649957,65621.4913894271,10.6152708956299,0.243059383769492,37373.1339302281,"index","Coastwide",39,"yellowtail rockfish"
2018,23622.9846896514,14296.6361772687,39033.3361448185,10.0699754445816,0.256227100255494,21615.443405506,"index","Coastwide",39,"yellowtail rockfish"
2019,35080.4198107792,17941.8916181319,68590.0840498246,10.4653984136545,0.342100593440335,32153.9569950221,"index","Coastwide",39,"yellowtail rockfish"
2021,11462.6884849181,5797.08924058597,22665.3794429068,9.34685256004288,0.347833608131908,10319.4018557899,"index","Coastwide",39,"yellowtail rockfish"
2022,14949.1249077665,7796.54115167222,28663.5228571934,9.61240804250806,0.332134965442217,13631.3508958557,"index","Coastwide",39,"yellowtail rockfish"
2023,17211.2929902839,10552.8696695106,28070.905419524,9.75332101655684,0.249580049383315,15755.3600434632,"index","Coastwide",39,"yellowtail rockfish"
2024,16499.6341761697,9252.0749204372,29424.5269616303,9.71109348850166,0.295153570162675,15026.27939474,"index","Coastwide",39,"yellowtail rockfish"
2003,306.002172268511,110.495715152009,847.429507146327,5.72359220084389,0.519711313869812,241.411630520443,"index","California",39,"yellowtail rockfish"
2004,189.645877395542,59.7066616708342,602.370955043592,5.24515852993682,0.589661309648295,148.433645403631,"index","California",39,"yellowtail rockfish"
2005,431.354783048565,167.662368011027,1109.77168619399,6.06693091401696,0.482140834460769,343.694995530567,"index","California",39,"yellowtail rockfish"
2006,181.027809327805,64.689630129362,506.589196514044,5.19865066215905,0.525035030144692,142.86259121533,"index","California",39,"yellowtail rockfish"
2007,309.512279819433,122.187929937887,784.020577218391,5.73499776765237,0.474211519261026,245.844555122647,"index","California",39,"yellowtail rockfish"
