"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,16161.4256600284,8239.09344448687,31701.5071044497,9.69038254972021,0.343749659206248,15121.6703515591,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2004,11597.5354842987,5365.9940118942,25065.7807316652,9.3585478962719,0.393227114018909,10720.3481448404,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2005,18744.1525080366,10572.4789873055,33231.8705637908,9.83863711652012,0.292162273989802,17633.7912092701,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2006,8699.50600349658,4356.87886177719,17370.5551854619,9.07102152182327,0.352817860263524,8096.09847583507,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2007,13962.1761989414,7780.7901979616,25054.314439857,9.54410725234339,0.298318783956858,13103.264494659,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2008,9419.93233612035,4865.92527523148,18236.0229962357,9.15058318454252,0.337032222548777,8717.07437660663,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2009,8922.2832835682,4711.76576779188,16895.3939808319,9.09630716631262,0.32576575741936,8176.97790837445,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2010,18785.7562135421,10441.8684693859,33797.0773668814,9.84085421344173,0.299635809886131,17609.1930339967,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2011,16840.0932783025,9504.47561758703,29837.3895659406,9.73151782687257,0.291841966023934,15827.799087343,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2012,17588.8540040439,9597.69888078844,32233.5373320399,9.77502068518534,0.309057738385969,16578.1219364751,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2013,10284.5404131361,4402.59766727092,24024.8552112179,9.2383971159293,0.432889123471274,9498.67989032861,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2014,33817.4976960707,20025.6268969612,57107.9825020251,10.428733630835,0.267334276448721,31754.8633250927,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2015,19758.2146797301,11860.2862777756,32915.4826609733,9.89132461700395,0.260399584215287,18684.0453735978,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2016,45624.6360970792,29428.581773886,70734.2078182664,10.7282031148986,0.223719143872583,43469.6213479504,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2017,40422.6743024252,25384.8747214458,64368.7477559032,10.6071461516196,0.237370361425546,38465.94319319,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2018,26536.0966724885,15525.8425236523,45354.3455396329,10.1862612236896,0.27347443818052,24778.3364290458,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2019,34778.4190335709,17861.2541943842,67718.5609314569,10.4567523306811,0.339987499934994,32919.0084989766,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2021,14105.6428260078,6977.36328931614,28516.382376072,9.55433019673352,0.359141203686765,12855.4197759699,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2022,14704.7727123636,7706.1196696494,28059.5617238981,9.59592739438198,0.329678170109856,13912.2097898595,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2023,16625.0208360419,10242.1740847161,26985.6102339905,9.71866411881902,0.247144811650121,15758.8073112182,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2024,15999.4296344356,9038.974148936,28319.7788166468,9.68030835273874,0.291335651775132,15121.3643155735,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2025,13115.5376757377,6555.40122994918,26240.5492035808,9.48155288846693,0.353837259182764,12019.269954222,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2003,483.839958956563,180.314903053084,1298.29039041864,6.18175418872258,0.503605889055716,405.369546762589,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2004,964.215210221763,221.700755590496,4193.53993244963,6.87131451681263,0.750006634624315,804.431925138418,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2005,1228.68178536651,361.249546983308,4178.99189714745,7.11369715445056,0.624566664849922,1029.5501448601,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2006,388.358682603919,126.397757264954,1193.2368866142,5.96192935229287,0.572712367547893,323.893088445568,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2007,385.640890040951,152.081973400606,977.886417082642,5.95490659975159,0.474746950926624,328.192138296407,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2008,924.327021569889,243.387889094222,3510.36547456767,6.8290659284749,0.680833687199668,769.718291195457,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2009,1899.71540863866,355.858518422342,10141.4423063943,7.54945936900863,0.854569854610843,1574.17975186544,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2010,449.73992105415,178.979782408073,1130.10527707888,6.10866946247203,0.47010894981699,375.908624168893,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2011,524.520359600401,199.515256338774,1378.95022508044,6.26248424424295,0.493169030444049,440.466244077733,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2012,656.198869399219,270.178068897504,1593.75243874501,6.48646389757401,0.452754565147149,554.603994037509,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2013,450.212111525981,174.446386114917,1161.90968399402,6.10971883065626,0.483734082154319,379.553459005479,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2014,3028.20870072382,830.339296941107,11043.735938936,8.01572653580303,0.660161175029546,2526.31850875597,"index","California",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
